stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,36.8,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,31.47,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,3,7,3,3,0,0,0,1,0,0,0,3,0,2,43,1,2,1,8,1,0,3,9,0,0
 24-34,0,0,0.82,0,0,3.28,0,0.82,0,0,0,0,0,3.28,0,3.28,25.45,0,0,0,0,0,0,0,6.57,0,0
 36-46,0,0,0,0.81,0,4.83,0,1.61,0,0,0,0,0,1.61,0.81,0,24.98,0,0,0.81,0,0,0,0,7.25,0,0
 48-58,0,0,0,0,0,7.46,0,0.57,0,0,0,0,0,2.87,0,1.15,6.89,0,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,0,7.85,0.98,0,0,0,0,0,0,1.96,0,0.98,6.87,0,0,0.98,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0.98,0.98,0,0,0,0,4.91,0,0.98,2.94,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,1.06,0,0,0,0,1.06,1.06,0,2.12,3.19,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,5.46,0,1.09,1.09,0,0,0,0,5.46,0,0,2.19,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0.77,0.77,0.77,0,0.77,0,0,0.77,0,0,1.53,0,0,0.77,0,0,0,0,0.77,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,5.88,0,0,1.96,0,0,0,0,0,1.96,0
