stage,axial,blastomeres,endoderm,eye,fast.muscle,fin.epithelia,gut,hatching.gland,lateral.line,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,2.63,0,0,0,2.63,0,0,26.29,2.63,0,23.66,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,56.65,0,0,25.18,0,0,0,3.15,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,3
 24-34,0,0,0,0,0,0,0,0,0,0,8.21,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0.81,0,0,0,0,0.81,6.45,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.3,0,0,0,0,0,1.15,2.87,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,3.93,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,3.19,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,1.09,0,1.09,0,0,1.09,0,0,0,0
108-118,0,0,0,1.53,0,0,0,0,0.77,0.77,1.53,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
