stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,2.46,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,8.86,0,0.81,0,0,0.81,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,12.05,0,0,0.57,0,0,0,0,0,0,0,0,0,0.57,0,0,0,5.74,0,0,0,0,1.15,0,0,0,0,1.72,0,0,0,0,0
 60-70,0,0,0,7.85,0,0,312.12,0.98,2.94,2.94,10.8,1.96,0,0.98,0,0,0,0,0,29.45,0,0.98,2.94,70.67,0,0,0.98,0.98,7.85,0,0.98,0,0,5.89,0,2.94,3.93,0,0.98
 72-82,0,3.93,0.98,77.55,67.73,1.96,1155.42,6.87,11.78,27.49,157.07,17.67,8.83,22.58,7.85,6.87,11.78,13.74,8.83,396.59,7.85,13.74,48.1,1008.17,3.93,22.58,18.65,2.94,75.59,0,2.94,1.96,0,82.46,11.78,9.82,53.01,21.6,24.54
 84-94,0,4.25,0,61.6,46.73,4.25,1008.94,1.06,5.31,8.5,67.97,11.68,5.31,23.36,9.56,8.5,4.25,10.62,4.25,204.97,6.37,19.12,21.24,426.94,6.37,6.37,8.5,2.12,90.27,0,6.37,3.19,0,53.1,4.25,6.37,22.3,9.56,7.43
 96-106,0,5.46,0,99.45,83.06,13.11,952.96,13.11,24.04,10.93,126.77,27.32,6.56,40.44,13.11,18.58,13.11,28.41,2.19,306,6.56,22.95,42.62,674.29,5.46,17.49,18.58,12.02,192.34,2.19,6.56,4.37,0,37.16,8.74,8.74,60.11,15.3,26.23
108-118,0,3.06,0,96.51,63.57,9.96,716.94,5.36,23.74,22.98,132.51,18.38,3.83,24.51,10.72,12.26,4.6,32.17,3.06,347.75,8.43,10.72,44.43,816.52,6.13,10.72,19.92,6.13,105.7,0,0.77,1.53,0,15.32,10.72,12.26,27.57,12.26,15.32
120,0,3.92,0,119.55,52.91,13.72,789.79,3.92,19.6,11.76,107.79,17.64,9.8,29.4,11.76,5.88,3.92,27.44,0,241.05,7.84,13.72,23.52,766.28,15.68,13.72,17.64,5.88,60.75,0,7.84,0,0,33.32,5.88,13.72,31.36,13.72,1.96
