stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,24.52,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,3.15,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,42,0,1,3,0,0,0,0
 24-34,0,0,0,0,2.46,4.93,0,0.82,0,0,0.82,0,2.46,0,0,0,6.57,0,0,0.82,15.6,0,3.28,0,0,258.57,0,0.82,3.28,0,0,0,0
 36-46,0,0,0,0,1.61,8.06,0.81,1.61,0,0,0,0,0,2.42,0,0,2.42,2.42,0.81,0,17.72,0,1.61,0,0,282.79,0,1.61,4.83,0,0,0,0.81
 48-58,0,0,0,0.57,3.44,7.46,2.3,4.59,0,0,0,0,1.15,0,0,0,1.15,1.15,0,0.57,16.07,0,1.72,0,0,188.78,0,0.57,5.16,0,0.57,0,0
 60-70,0,0,1.96,0,5.89,7.85,6.87,18.65,0,0,0,0,3.93,1.96,0,0,1.96,0,0,0.98,14.72,0.98,1.96,0,0,277.77,0,1.96,2.94,0,0,0,0.98
 72-82,0,0,0.98,0,10.8,7.85,1.96,54.97,0,0,0,0,4.91,6.87,0,0,3.93,1.96,0,0,25.52,0,2.94,0,0,193.39,0,1.96,1.96,0,0.98,0,0
 84-94,0,0,1.06,3.19,19.12,6.37,9.56,27.61,0,0,0,1.06,9.56,1.06,0,0,2.12,0,1.06,1.06,12.74,0,3.19,1.06,0,438.62,0,4.25,0,0,1.06,0,1.06
 96-106,0,0,1.09,0,21.86,16.39,6.56,41.53,2.19,0,0,0,12.02,10.93,2.19,0,5.46,0,1.09,1.09,13.11,0,5.46,1.09,0,408.72,0,4.37,1.09,2.19,1.09,0,0
108-118,0,0,0,1.53,22.98,6.89,14.55,41.36,4.6,0,0,0.77,15.32,3.06,0.77,0.77,1.53,3.06,0.77,0,19.92,0,3.83,0,0,302.56,0,2.3,1.53,3.83,0,0.77,0
120,0,0,1.96,0,35.28,9.8,13.72,68.59,3.92,0,0,1.96,11.76,3.92,0,1.96,1.96,1.96,0,0,23.52,0,3.92,0,0,223.42,0,3.92,0,1.96,0,0,0
