stage,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,pericytes,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,2,1,0,0,4,0,2,7,0,0,0,3,1,4,0,0
 24-34,0,0,0.82,0,0,0,0,0,0.82,0.82,0,0,3.28,0,0,0,0,0,0.82,2.46,0
 36-46,0,0,3.22,0.81,0,0,0,0.81,0,2.42,0,1.61,5.64,0,0,0.81,0,0,0,2.42,0
 48-58,0,0,0.57,0,0,0.57,0,0,0,2.3,0,0.57,5.16,0.57,0,0,0,0,0.57,0.57,0
 60-70,0,0,0.98,0,2.94,0,0,0,0,3.93,0,0,2.94,0,0,0,0,0,0,3.93,0
 72-82,0,0,1.96,0,0,0.98,0,0,0,3.93,0.98,0,0.98,0,0,0,0,0,0,5.89,0
 84-94,1.06,0,1.06,0,2.12,2.12,0,0,0,5.31,1.06,0,3.19,0,0,0,0,0,0,2.12,1.06
 96-106,0,0,0,0,0,3.28,0,0,0,5.46,0,0,2.19,0,0,0,0,0,0,16.39,0
108-118,0,0,0.77,0,3.83,2.3,0,0,0,9.19,0,0,2.3,0,1.53,0,0,0,0,9.96,0.77
120,0,0,0,0,0,0,0,0,0,3.92,0,0,1.96,0,1.96,0,0,0,0,5.88,0
