stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,355.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,5.26,15.77,0,0,0,39.43,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,265.5,13.14,0,0,107.78,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,6.29,0,0,0,34.62,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,283.23,9.44,0,0,125.88,0,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,2,6,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,32,1,1,2,0,0,1,0,6,1,1,9,15,0,0,0,0
 24-34,0,0,0,4.1,0,0,9.03,0,0,0,0.82,0,0,1.64,1.64,0,0,0,0.82,13.95,0,0,2.46,115.74,0.82,0,0.82,0,0,3.28,0,0,0,0,1.64,21.34,0,1.64,0,0
 36-46,0,0,0,1.61,0,0,18.53,0,0,0,3.22,0,0,0,0.81,0,0,0,0,10.47,0,0,3.22,91.04,0,0.81,0,0,0,2.42,0,0,0,0,0,16.11,0,1.61,0,0.81
 48-58,0,0,0,1.72,0,0,28.69,1.15,1.15,0,9.18,0,0,0,0.57,0,0.57,0.57,0,8.03,0,0,3.44,77.46,0,0,0,0,0,0.57,0,0,0,0,0,14.35,0,1.72,0,0
 60-70,0,0,0,0.98,1.96,0,39.26,0,0,0.98,4.91,0,0,0,0,0.98,0,0,0,10.8,0,0,0.98,74.6,0,0.98,1.96,0,0,0.98,0,0,0,0,0,12.76,0.98,0,0,0
 72-82,0,0,0,1.96,0.98,0,35.34,0.98,0.98,0,5.89,0,0,0,0.98,0,0,0,0,10.8,0.98,1.96,1.96,68.72,0,0,0.98,0,0,0,0,0,0,0,0,4.91,0,1.96,0.98,0
 84-94,0,0,0,3.19,0,0,16.99,0,0,0,4.25,1.06,0,0,1.06,0,0,0,0,10.62,0,1.06,0,21.24,1.06,1.06,1.06,0,0,3.19,0,0,0,0,0,2.12,0,1.06,0,0
 96-106,0,0,0,2.19,0,0,10.93,0,0,0,3.28,0,0,1.09,2.19,0,0,0,1.09,9.84,0,0,1.09,17.49,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,5.36,0,0,0,0.77,0.77,0,0,0,0,0,0,0.77,2.3,0.77,0,1.53,17.62,0,2.3,0.77,0,0.77,3.06,0,0,0,0,0,0,0,1.53,0,0
120,0,0,0,3.92,0,1.96,11.76,0,3.92,0,5.88,1.96,0,0,0,0,0,1.96,0,5.88,0,0,3.92,39.2,0,0,0,0,0,5.88,0,0,1.96,0,0,0,0,1.96,0,0
