stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,7.89,0,0,0,36.8,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,176.12,2.63,0,63.09,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,6.29,0,22.03,0,3.15,0,31.47,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,349.31,15.73,0,160.5,0,0,6.29,0,25.18,0,0,3.15,0,0,0
 14-21,0,0,3,20,8,0,20,0,0,0,9,2,2,0,0,0,0,0,0,0,10,0,19,217,1,1,5,0,1,1,22,2,2,40,57,0,1,0
 24-34,0,0,0,10.67,1.64,0,39.4,0.82,0,0,9.03,0.82,0,2.46,0.82,0,0.82,0.82,0,0.82,30.37,0,18.06,266.78,8.21,3.28,0,0,0,0,0,0.82,1.64,6.57,77.16,0,4.1,0
 36-46,0,0,0,0.81,0,0,24.98,1.61,0,0,0.81,0,0,1.61,0,0,0,0.81,0.81,0,23.36,0,14.5,120.85,1.61,0.81,0,0,0,0,0,1.61,0,0.81,55.59,0,4.03,0.81
 48-58,0,0,0,1.72,0,0,18.36,1.72,0.57,4.59,6.31,0,0,1.72,0,0,1.15,0.57,0,0.57,22.38,0,8.03,94.68,2.3,0.57,0,0,0.57,0,0,0,1.72,0,19.51,0,4.02,0
 60-70,0,0,0,0.98,0,0,31.41,1.96,0,0,5.89,0,0,0.98,0,0,0,0,0,0,29.45,0.98,5.89,140.36,0.98,1.96,0,0,0,0,0,0,0,0,21.59,0,4.91,0
 72-82,0,0,0,0,0.98,0,34.36,0,0,1.96,20.61,0.98,0,1.96,0,0,0,0,0.98,0,40.25,0.98,3.93,137.43,0.98,1.96,0,0.98,0.98,0,0,0,0,0,15.71,0,6.87,0
 84-94,0,0,0,5.31,1.06,0,25.49,0,0,1.06,6.37,0,0,1.06,0,0,0,0,0,0,22.3,0,5.31,93.46,1.06,2.12,0,0,1.06,0,0,1.06,0,0,10.62,1.06,2.12,0
 96-106,0,1.09,0,2.19,1.09,0,17.49,0,0,1.09,22.95,2.19,0,2.19,2.19,0,0,1.09,0,1.09,25.14,1.09,1.09,76.5,1.09,0,1.09,2.19,4.37,0,0,0,0,0,5.46,1.09,5.46,1.09
108-118,0,0,0,0.77,0,2.3,11.49,0,0,1.53,12.26,0,0,0.77,0,0.77,1.53,0,0.77,0,24.51,1.53,5.36,58.21,0.77,2.3,0,1.53,1.53,0,0,0.77,0,0,1.53,0.77,4.6,0
120,0,0,0,0,1.96,1.96,13.72,0,0,0,19.6,1.96,0,0,0,0,0,0,0,0,7.84,1.96,1.96,84.27,0,1.96,0,0,0,0,0,0,0,0,3.92,0,1.96,0
