stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1,26,120,21,0,5,0,1,0,2,6,1,0,0,0,0,0,54,0,0,75,145,5,2,3,3,0,37,0,137,106,31,173,136,0,8,0
 24-34,0.82,14.78,36.94,2.46,0,2.46,0.82,4.93,2.46,4.93,7.39,7.39,0,1.64,0,2.46,2.46,103.43,0,0,51.71,64.85,1.64,1.64,1.64,0,0,66.49,0,2.46,70.59,4.1,50.89,46.79,0,70.59,0
 36-46,0.81,0,12.89,0,0,2.42,2.42,1.61,8.06,8.06,1.61,4.83,0,0,0,0.81,1.61,113.6,0,0.81,29.81,27.39,0,0,0,0,0.81,45.12,0,0,28.2,1.61,0,15.31,0,33.84,0
 48-58,0,0,1.15,0,0,5.16,0,1.15,6.89,1.72,1.15,4.02,0,0.57,0,0,0.57,84.92,0,0.57,19.51,24.67,0,0,0,0,0,45.33,0,0,23.53,2.87,0,6.31,0,30.41,0.57
 60-70,0,0,0.98,0,0,7.85,0.98,0,1.96,1.96,0,0.98,0,0.98,0,0,0.98,34.35,1.96,1.96,8.83,14.72,0,0,0,0,0,90.3,0,0,14.72,5.89,0,7.85,0,10.8,0
 72-82,0,0,4.91,0,0,3.93,0,0,8.83,1.96,0.98,0,0,0.98,0,0.98,0,28.47,1.96,1.96,10.8,16.69,0,0,0,0,0,150.19,0,0,16.69,0.98,0,0,0,12.76,0
 84-94,0,0,15.93,0,0,6.37,0,4.25,6.37,1.06,1.06,0,0,3.19,0,0,0,20.18,3.19,1.06,3.19,9.56,0,0,0,0,0,323.92,0,0,12.74,0,0,2.12,1.06,9.56,0
 96-106,0,1.09,19.67,2.19,0,7.65,2.19,4.37,4.37,4.37,1.09,0,0,8.74,0,1.09,0,10.93,2.19,1.09,3.28,13.11,0,0,0,0,0,514.73,0,0,33.88,2.19,0,1.09,0,16.39,0
108-118,0,0,26.04,0,0.77,4.6,0.77,5.36,1.53,2.3,3.06,0,0.77,9.19,0.77,0,0,5.36,4.6,0.77,1.53,10.72,0,0.77,1.53,0,0,353.87,0,0,28.34,1.53,0,2.3,0,3.83,0
120,0,0,17.64,0,0,3.92,0,7.84,3.92,1.96,15.68,1.96,0,11.76,0,0,0,17.64,7.84,0,5.88,13.72,0,1.96,0,0,0,421.35,1.96,0,27.44,0,0,1.96,0,3.92,0
