stage,epidermis,erythrocytes,eye,glial,heart,immune,liver,melanocytes,mesenchyme,mucous,neural,paraxial.mesoderm,somites,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0.82,0,0.82,0,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,0,1.72,0,0,0,0,0
 60-70,0,0,27.48,0.98,0,0,0,0,0,0,2.94,0,0,0,0,0
 72-82,0.98,0,144.3,0,0,0,0.98,0.98,1.96,0,1.96,0,0,0.98,0,0
 84-94,1.06,0,126.38,1.06,0,0,0,0,1.06,0,1.06,0,0,0,0,1.06
 96-106,2.19,1.09,189.06,3.28,0,0,0,1.09,3.28,0,5.46,0,0,0,0,0
108-118,0,0.77,126.38,2.3,0,0,0,0,3.06,0.77,3.06,0,0,0,0.77,0
120,0,0,168.54,0,1.96,1.96,0,0,1.96,0,5.88,0,0,0,0,0
