stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,55.17,870.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0
  7-9,13.14,2.63,0,10.51,0,0,10.51,0,0,0,10.51,0,0,0,0,0,226.07,2.63,0,65.72,5.26,0,0,0
 10-12,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,1.64,0,0,0,4.93,0,0,0,51.71,0,0,0
 36-46,0,0,0,0,3.22,0,0,0,0,0,0,0,1.61,0,0,0.81,13.7,0,0,0,70.09,0.81,0,0.81
 48-58,0,0,0,0,0,0,0.57,1.15,0.57,0,0.57,0,0,0,0.57,0,5.74,0,0.57,0,100.99,0.57,0,0
 60-70,0,0,0,0,5.89,0,1.96,0,0,0,2.94,0,0.98,0,0,1.96,0,0,0,0,39.26,0.98,0.98,0
 72-82,0,0,0,0,1.96,0,0.98,0.98,0,0,0.98,0,0.98,1.96,0.98,0.98,4.91,0,1.96,0,76.57,0,0,0
 84-94,0,0,0,0,2.12,0,1.06,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,14.87,0,0,0
 96-106,0,0,0,0,7.65,0,1.09,0,1.09,3.28,0,0,2.19,1.09,0,2.19,3.28,0,2.19,0,134.42,0,1.09,0
108-118,0,0,0,0,5.36,0,1.53,0.77,0,2.3,0,0,4.6,0.77,0,0.77,3.83,0,4.6,0,42.13,0,1.53,0
120,0,0,1.96,0,27.44,1.96,0,3.92,0,9.8,0,1.96,5.88,1.96,3.92,0,5.88,0,0,0,121.51,0,9.8,0
