stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,1779.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0
  5-6,98.07,1360.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,0,36.78,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,5.26,0,0,0,13.14,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,197.15,7.89,0,0,63.09,0,2.63,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,12.59,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,214,1,0,1,0,5,0,0,1,0,0,0,14,0,0,0,0,3,0,0,1,14,2,1,1,0,0,162,0,1,1,0,3,0,0
 24-34,0,0,0,2.46,241.33,0,0,7.39,0,39.4,0,0,0.82,0.82,1.64,0,33.66,0,3.28,0,0.82,2.46,14.78,0,4.1,59.92,0,2.46,0,0,0.82,615.64,0,1.64,14.78,0,27.09,0,0
 36-46,0,0,0,0,106.35,0,0,8.06,0,40.28,0,1.61,0,1.61,0,0,10.47,0,4.83,0,0.81,4.03,15.31,0,1.61,49.95,0,5.64,2.42,0,0,534.96,0,0.81,8.86,0,16.11,0,0.81
 48-58,0,0,0,0,120.5,0.57,0,13.77,0.57,51.64,0.57,6.31,1.15,1.72,0,0.57,5.74,0,3.44,0.57,0.57,4.59,16.07,0,1.72,44.76,0,1.15,0.57,0,0,438.39,0,0.57,8.03,0,5.74,0,2.3
 60-70,0,0,0,0,95.21,0.98,0,6.87,0.98,51.04,0.98,4.91,0.98,0,0,0,6.87,0,2.94,0,0,7.85,13.74,0,0.98,23.56,0.98,2.94,4.91,0,0,326.85,0,0,0.98,1.96,4.91,0,0
 72-82,0,0,0.98,0,155.1,0.98,0,9.82,0,52.03,0.98,3.93,16.69,0.98,0,4.91,22.58,0,9.82,0,0,9.82,16.69,0,0,26.5,0,2.94,8.83,0,0,313.15,0,0.98,2.94,1.96,12.76,0.98,0
 84-94,0,0,1.06,0,267.63,1.06,0,7.43,0,80.71,0,1.06,25.49,2.12,0,7.43,35.05,1.06,8.5,0,1.06,12.74,22.3,0,0,8.5,2.12,4.25,4.25,0,0,737.05,0,3.19,0,12.74,6.37,0,0
 96-106,0,0,2.19,1.09,265.56,5.46,1.09,19.67,0,83.06,0,6.56,26.23,0,0,13.11,37.16,0,10.93,4.37,1.09,17.49,29.51,1.09,1.09,37.16,0,7.65,6.56,0,0,585.77,0,3.28,1.09,22.95,9.84,1.09,0
108-118,0,0,0,0.77,272.68,2.3,2.3,6.89,0.77,114.13,0.77,3.83,42.13,0,0.77,12.26,48.26,0,9.96,2.3,1.53,9.96,16.85,1.53,3.83,17.62,0,7.66,3.83,0,0.77,565.28,0,6.89,0.77,41.36,6.89,0,0.77
120,0,0,0,0,211.66,0,1.96,7.84,0,68.59,0,1.96,25.48,0,1.96,5.88,35.28,0,9.8,5.88,0,7.84,17.64,0,3.92,39.2,0,1.96,3.92,0,1.96,341,0,1.96,0,7.84,1.96,0,0
