stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,3,0,0,0
 24-34,0,0,0,0,0,0.82,0.82,0,0,0,0.82,0,0,0,0,0.82,0,0,1.64,5.75,0,0.82,0,0,0,2.46,3.28,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,1.61,0.81,0,0.81,0,0,0,0,0,0,0,1.61,0,1.61,16.92,0,0,0,0,0,1.61,1.61,0,0,3.22,0,0,0
 48-58,0,0,0,0,0,5.74,3.44,0,1.72,0,0.57,0.57,0,0,0.57,0,4.02,0,1.72,10.9,0,0,0,0,0,0.57,0,0,0,1.72,0,0.57,0
 60-70,0,0,0,0,0,8.83,4.91,0,0,0,0,0,0,0,0.98,0,3.93,0,0.98,14.72,0,0,0.98,0,0,0.98,0.98,0,0,4.91,0,0,0
 72-82,0,0,0,0,0,24.54,0.98,0.98,3.93,0,0,0,0,0,0,0,10.8,0,0,22.58,0.98,0.98,0,0,0,0.98,4.91,0.98,0,0.98,0.98,0,0.98
 84-94,0,1.06,0,1.06,2.12,19.12,3.19,0,0,1.06,0,0,0,4.25,1.06,0,4.25,0,3.19,10.62,0,0,1.06,0,0,1.06,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,3.28,12.02,2.19,0,1.09,0,0,0,0,1.09,0,0,6.56,1.09,2.19,8.74,0,1.09,0,0,0,3.28,1.09,1.09,0,0,0,0,0
108-118,0,0,0,0,0.77,9.19,3.06,0,2.3,0,0,0,0.77,2.3,0,0,12.26,0,2.3,9.96,0,0,0,0,0,0,1.53,0.77,0,0.77,0,0,0
120,0,0,0,0,0,7.84,3.92,1.96,3.92,0,0,1.96,0,0,0,0,3.92,0,1.96,7.84,3.92,0,1.96,0,1.96,0,0,0,0,0,0,0,0
