stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.14,0,0,0,0,168.24,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,515.23,0,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,59.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.61,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,14,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,85,0,1,0,1,0,1,0,0,1,22,0,0,0,0,0
 24-34,0,0,4.1,0,3.28,0,4.93,0,0,0,1.64,0,0,0.82,0,0,0,0.82,2.46,0,0,0.82,273.35,0,45.97,0,0,0,0.82,0,0,0,64.03,0,0,0,0,0
 36-46,0,0,5.64,0,1.61,0,16.11,0,0,0,6.45,0,0,0,0,0,0,0,2.42,0,0.81,0.81,621.17,0,42.7,0,0,0,0.81,0,0,0,108.77,0,0,0,0,0
 48-58,0,0,4.59,0,1.72,0,117.06,0,0,0.57,12.05,0,0,0,0,0,0,0,6.31,0,0,0,950.22,0.57,36.72,0,0,0,0,0,0.57,0,113.04,0,0,0.57,0,1.15
 60-70,0,0,1.96,0,1.96,0,488.8,0,1.96,0,20.61,0.98,0,0,0.98,0,0,0,11.78,0,0,1.96,1435.97,0.98,47.11,0,0,0,0.98,0,0,0,142.32,0,0,0,0,0
 72-82,0,0,10.8,0,4.91,1.96,733.3,0,1.96,0.98,43.19,4.91,0.98,0.98,0,0.98,0.98,0,32.39,0,0,0.98,1222.17,0,67.73,0.98,0,0.98,1.96,0,0,0,92.28,3.93,0,0.98,0,0.98
 84-94,0,0,10.62,0,11.68,3.19,554.38,1.06,1.06,0,44.61,1.06,0,0,1.06,2.12,0,0,20.18,0,3.19,1.06,630.85,0,65.85,1.06,0,0,2.12,1.06,0,0,43.54,0,1.06,1.06,0,0
 96-106,0,0,12.02,0,8.74,2.19,465.55,0,1.09,0,29.51,3.28,0,0,2.19,1.09,0,1.09,20.76,0,0,2.19,492.87,1.09,103.82,1.09,0,0,4.37,0,1.09,0,20.76,2.19,1.09,1.09,0,2.19
108-118,0,0,9.96,0,7.66,0,330.13,0,0.77,0.77,27.57,4.6,0,0,0.77,0,0,0.77,11.49,0,0,1.53,532.34,0,71.23,0,0,0,3.06,0,0.77,0,16.09,1.53,0.77,2.3,1.53,1.53
120,1.96,0,9.8,0,7.84,0,339.04,0,3.92,1.96,47.03,5.88,0,0,0,0,0,1.96,23.52,1.96,0,3.92,744.72,0,68.59,0,0,0,5.88,0,3.92,0,35.28,1.96,0,1.96,5.88,0
