stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
 24-34,0,0.82,0,0,0,0.82,0,0,0,0,0,0,1.64,0,0,4.93,0,1.64,0,0.82,0.82,3.28,0,0
 36-46,0,1.61,0.81,0,0,0.81,0,0,0,0,0,0,1.61,0,1.61,3.22,0,0,0,1.61,0,0.81,0,0
 48-58,0,0,1.15,0,0,0,0.57,0,0,0,0,0,1.15,0,1.15,2.87,0,0,0,0,0,0.57,0,0
 60-70,0,0,1.96,0,0.98,0,0.98,0,0,0,0,0.98,5.89,0,0,3.93,0,0,0,1.96,0,0.98,0,0
 72-82,0,0.98,4.91,0.98,0,1.96,0,0,1.96,0.98,0,0,4.91,0,0,1.96,0,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,0,0,2.12,1.06,0,0,3.19,1.06,1.06,1.06,0,0,0,3.19,0,0,0,0
 96-106,0,0,2.19,0,0,1.09,0,1.09,0,0,1.09,0,5.46,0,0,0,0,0,0,1.09,0,0,1.09,1.09
108-118,0,0.77,1.53,0,0,1.53,0,0,0.77,0,0,0,3.06,0,1.53,1.53,0,0,0,0,0,0,0,0
120,0,3.92,1.96,0,0,0,0,0,0,0,0,0,0,0,0,5.88,1.96,0,0,0,0,0,0,0
