stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,12.59,18.88,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,2,1,1,1,2,0
 24-34,0,0,1.64,0,0,1.64,0,0,10.67,0,0,0,2.46,2.46
 36-46,0,0,0,0,0.81,0,0,0.81,1.61,0,0,0,0,0.81
 48-58,0,0.57,1.15,0,0,1.15,0,0,1.15,0,0,0,0.57,0.57
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
