stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,3.15,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,5,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,12.31,0,0,0,0.82,4.93,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,0,0,0,0,7.25,0,0
 48-58,0,0.57,0,0,0,0.57,0,0,0.57,0,0,1.15,0,0,0,23.53,0,0,0,0,7.46,0,0
 60-70,0,0,0,0,0,1.96,0.98,0.98,0.98,0,0,0,0.98,0,0.98,62.82,0.98,0,0,0,2.94,0,0.98
 72-82,0,1.96,1.96,0,0,11.78,0,0,0,1.96,0,1.96,0.98,0,0,83.44,0,0,0,0,7.85,0,1.96
 84-94,0,0,0,0,0,3.19,0,0,2.12,0,0,3.19,0,1.06,1.06,46.73,0,0,0,1.06,1.06,0,0
 96-106,0,1.09,3.28,0,1.09,5.46,0,0,1.09,0,0,4.37,0,0,0,72.13,0,0,0,0,7.65,1.09,2.19
108-118,0,3.83,0,0.77,0,4.6,0,0,0,0.77,0,3.83,0.77,0,0.77,66.64,0,0,0,0.77,3.06,0,1.53
120,0,3.92,0,0,0,9.8,0,0,3.92,1.96,0,1.96,0,1.96,0,52.91,0,1.96,0,0,5.88,0,0
