stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,107.78,0,0,0,0
 10-12,0,9.44,3.15,0,0,0,0,0,3.15,0,0,0,0,72.38,3.15,94.41,0,0,0,0
 14-21,0,0,0,7,2,1,0,4,0,0,0,2,0,154,0,39,0,5,1,52
 24-34,0,0,0,1.64,0.82,1.64,0.82,1.64,0.82,0,0,0,0.82,87.83,0.82,0,0,0,1.64,15.6
 36-46,0,0,0,3.22,0,4.03,0,1.61,0,0,0,0,0,71.7,0,0,0,0,0,14.5
 48-58,0,0,0,0.57,0.57,1.15,0,7.46,0,0,0,0,0,28.12,0,0,0,0,0,3.44
 60-70,0,0,0,0.98,0,2.94,0,10.8,0,0,0,0,0,18.65,0,0,0,0,0,2.94
 72-82,0,0,0,1.96,2.94,0.98,0,16.69,0,0.98,0.98,0.98,0,9.82,0,0,0,0,0,0
 84-94,0,0,0,6.37,2.12,7.43,0,10.62,0,1.06,0,0,0,11.68,0,0,0,0,0,1.06
 96-106,0,0,0,3.28,0,3.28,0,5.46,0,0,0,0,0,1.09,0,0,1.09,0,0,0
108-118,0,0,0,3.83,0,6.13,0,9.19,0,0.77,0,0,0,3.06,0,0,0,0,0,0
120,0,0,0,7.84,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0
