stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,14,0,0,0,0,0,1,0,3,2,0,0,0,0,0
 24-34,0.82,0,0,0,3.28,0,0,7.39,0,0,1.64,0,0,0,0,0,1.64,0,0,17.24,0,0,7.39,35.3,0,19.7,2.46,0,0,7.39,0.82,0,5.75,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,2.42,0,0.81,0,0,0,0.81,0.81,0,0,0,0,19.34,0.81,0.81,6.45,57.2,1.61,16.11,1.61,0,0.81,7.25,0,0,1.61,0,0,0,0,0.81
 48-58,0.57,0,0,0,1.15,0,0,3.44,0.57,0.57,2.87,0,0.57,0.57,0,0,0,0,0,15.49,0,0.57,1.15,44.18,0,6.89,0.57,0,0,2.3,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,0,9.82,1.96,0.98,1.96,1.96,0,0,0,2.94,0.98,0,0,27.48,0,4.91,1.96,42.21,0,6.87,0.98,0,0,0.98,0,0,2.94,0,0,0,0.98,0
 72-82,0,0,0,0,2.94,0,0,9.82,0,0,1.96,1.96,0,0,0,13.74,0,0,0,34.36,0,1.96,2.94,73.62,0,7.85,2.94,0,1.96,3.93,0,0,0.98,0,0.98,0,0.98,0
 84-94,0,0,1.06,0,1.06,0,0,8.5,1.06,1.06,2.12,0,0,0,0,21.24,0,0,0,26.55,0,0,0,30.8,0,7.43,1.06,0,0,7.43,0,0,0,1.06,1.06,1.06,1.06,0
 96-106,0,0,1.09,0,6.56,1.09,1.09,9.84,0,1.09,2.19,2.19,0,0,1.09,25.14,1.09,0,1.09,29.51,1.09,2.19,1.09,41.53,0,21.86,1.09,0,0,14.21,0,0,1.09,0,0,1.09,0,1.09
108-118,0,0,0,0,3.06,0,0.77,6.89,1.53,0,2.3,0.77,0,0,0,28.34,0,1.53,0.77,42.13,0,2.3,1.53,42.89,0,12.26,0,0,0,9.96,0,0,0.77,0,0.77,1.53,0,0
120,0,0,0,0,5.88,0,0,5.88,1.96,0,0,1.96,0,0,1.96,13.72,0,0,0,27.44,0,0,1.96,50.95,0,15.68,0,0,1.96,1.96,0,0,1.96,0,0,0,0,0
