stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,mesenchyme,mucous,neural,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
 24-34,0,0,1.64,0.82,3.28,0,0,0,0,0,2.46,0.82,2.46,20.52,0,546.69,0,0.82,2.46,0,0
 36-46,0,0,1.61,0,0,0.81,0,0,0,0,0,2.42,1.61,8.86,0,470.51,0,0,0.81,0,0.81
 48-58,0,0.57,0.57,0,5.16,1.15,0,0.57,0,0,1.15,1.15,4.02,9.75,0,379.86,0.57,0,1.15,0.57,0
 60-70,0,0,0.98,0,2.94,0,0,0,0,0,0,0.98,3.93,2.94,0,189.43,0,0,0.98,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0.98,1.96,0,94.24,0,0,0,0,0
 84-94,0,0,3.19,0,1.06,2.12,0,0,0,0,1.06,0,1.06,0,0,230.46,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,1.09,0,1.09,0,0,39.34,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0.77,0,1.53,0,0.77,0,0,24.51,0,0,0,0,0
120,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0
