stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,7.89,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.23,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,3.15,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,125.88,9.44,0,0,28.32,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,14,1,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,3,0,0,12,0,1,0,0,3,3,0,0,6,6,0,1,0,1
 24-34,0,0,0,4.1,0,0,1.64,0,0.82,0,0,0.82,0,0,0,0,0,0,0.82,0.82,2.46,0,0,14.78,0,0,1.64,0,5.75,0,0.82,0,0.82,7.39,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0.81,0,0,0,1.61,1.61,0.81,0.81,12.89,0,1.61,2.42,0,9.67,0,0,0,0,2.42,0,1.61,0,0.81
 48-58,0,0,0,1.72,0.57,0,5.74,0,0,0,1.72,0,0,1.15,0,0.57,0,0,0,0.57,1.72,1.72,1.15,8.03,0,0,2.3,0,3.44,0,0,0.57,0,2.87,0,0.57,0,0
 60-70,0,0,0,4.91,0,0,3.93,1.96,3.93,0,0,0,0,0,0.98,0,0,0.98,0,0,2.94,0,0,12.76,0,2.94,0.98,0,4.91,0,0,0,0,0.98,0,1.96,0,0
 72-82,0,0,0,5.89,0,0,2.94,0,0,0,1.96,0.98,0,0,0,0.98,0,1.96,0,0,2.94,3.93,0,1.96,0,1.96,5.89,0,3.93,0,0.98,0,0,0,0,0.98,0.98,0
 84-94,0,0,1.06,6.37,0,0,3.19,0,0,1.06,3.19,1.06,0,0,0,3.19,0,1.06,0,0,3.19,2.12,0,7.43,0,0,1.06,0,19.12,0,2.12,0,0,0,1.06,0,0,1.06
 96-106,0,0,0,7.65,1.09,1.09,2.19,0,2.19,0,1.09,0,0,0,0,0,0,1.09,0,0,0,2.19,0,3.28,0,0,3.28,0,9.84,0,0,0,0,0,2.19,0,0,0
108-118,0,0,0.77,7.66,0.77,0,0,0,3.06,0,0,2.3,0,0,0.77,0.77,0.77,0.77,0.77,0,1.53,0,0,6.89,0.77,0,3.06,0,8.43,0,0.77,0,0,0.77,0,0,0.77,0
120,0,0,0,5.88,0,0,1.96,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0,0,3.92,0,0,3.92,1.96,3.92,0,0,11.76,0,1.96,0,0,0,0,1.96,0,0
