stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,0,7,0,0,0,0,0,0,2,0,1,0,0,1,8,0,0,3,39,1,0,0,1,0,1,8,1,1,5,16,0,0,0,0,0
 24-34,0,0,0,2.46,4.93,1.64,10.67,0,0.82,0,1.64,0.82,0,0,0.82,1.64,0,0,0,15.6,0.82,0,6.57,80.44,0,0,0.82,0,0,8.21,0,0,0.82,2.46,21.34,0,0,4.1,0,0
 36-46,0,0,0,0,1.61,0,16.11,0,0,0.81,8.06,0.81,0,0.81,1.61,0,0,0.81,0,12.89,2.42,0,7.25,114.41,1.61,2.42,0,0,0,10.47,0,0.81,0,0,23.36,0,0,1.61,0,0
 48-58,0,0,0,0,1.15,0.57,25.82,1.15,1.72,2.87,6.31,0,0,0.57,1.15,0,1.15,0,0,14.92,0,0.57,4.59,95.25,0,0.57,1.72,0,0,5.74,0,0,0,0,19.51,0,0.57,0.57,0,0
 60-70,0,0,0,0,5.89,0.98,89.32,0,1.96,0.98,20.61,0,0,0,0.98,0,0.98,0,0.98,35.33,0.98,0.98,4.91,176.67,0.98,0.98,0,0,0,5.89,0,0.98,0,0,23.56,0,0,0.98,0.98,0
 72-82,0,0,0,0,4.91,2.94,65.77,0,0.98,2.94,25.52,0,0,0.98,2.94,0.98,0.98,0,0,56.94,0.98,0.98,0.98,140.38,1.96,0,1.96,0,0,4.91,0,0,0,0,12.76,1.96,1.96,6.87,2.94,0
 84-94,0,0,0,0,7.43,3.19,38.23,0,2.12,0,15.93,2.12,0,1.06,8.5,0,0,0,1.06,49.92,1.06,2.12,2.12,70.09,0,0,2.12,0,0,16.99,0,0,0,0,5.31,0,3.19,5.31,0,0
 96-106,0,0,1.09,0,14.21,4.37,32.79,0,3.28,0,20.76,3.28,0,1.09,4.37,6.56,2.19,1.09,0,42.62,0,0,4.37,52.46,1.09,1.09,4.37,0,2.19,14.21,0,0,0,0,8.74,2.19,0,7.65,0,1.09
108-118,0,0,0.77,0,6.89,6.13,32.94,0,2.3,1.53,19.92,3.06,0,0.77,1.53,0.77,3.06,0.77,0,49.02,0,0,8.43,78.13,2.3,0.77,0.77,0,0,3.83,0,0.77,0,0,3.83,0,0,2.3,0.77,0.77
120,0,0,1.96,1.96,13.72,1.96,15.68,0,1.96,3.92,13.72,3.92,0,0,0,1.96,1.96,0,1.96,21.56,0,0,3.92,64.67,0,1.96,0,0,0,3.92,0,0,0,0,1.96,0,0,3.92,0,0
