stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,67.43,422.94,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,7.89,0,0,0,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,94.63,7.89,0,0,21.03,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,3.15,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,107,6.29,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,20,4,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,1,75,3,0,3,0,0,4,9,1,10,33,0,0,2,0,0
 24-34,0,0,0,2.46,14.78,0,0,18.06,0,3.28,0.82,4.1,0,0.82,1.64,0.82,1.64,0,0,0,1.64,13.95,0,15.6,175.66,4.1,5.75,0.82,0,0,15.6,0,0.82,1.64,73.06,0,0,12.31,0,0.82
 36-46,0,0,0,0,7.25,0,0,21.75,0.81,2.42,0.81,7.25,0.81,0,0.81,1.61,0,0,0,0,1.61,22.56,0,1.61,232.84,0.81,5.64,1.61,0,0.81,10.47,0,0,0.81,67.68,0,0,5.64,0,5.64
 48-58,0,0,0,0,5.74,0.57,0,47.63,1.15,4.02,1.15,28.69,0.57,0,1.15,1.72,0,0,0,0.57,5.74,36.15,1.15,12.05,293.21,0.57,1.72,1.15,0,0.57,6.31,0,0,0,66.56,0,0,5.16,0,6.89
 60-70,0,0,0.98,0,2.94,0.98,0,121.71,2.94,3.93,0.98,46.13,2.94,0,0,1.96,0,0,0,0,0.98,41.22,0,4.91,369.05,3.93,4.91,0.98,0,0.98,3.93,0,0.98,0,55.95,0.98,0.98,2.94,0,2.94
 72-82,0,0,0.98,0,15.71,1.96,0,161.97,5.89,3.93,2.94,69.7,3.93,0,0,4.91,0.98,0.98,0.98,0.98,0.98,56.94,0.98,8.83,391.68,0.98,4.91,3.93,0,0,4.91,0,0,0,33.38,0,0.98,11.78,2.94,5.89
 84-94,0,0,0,0,8.5,3.19,0,97.71,2.12,2.12,4.25,42.48,6.37,0,3.19,6.37,1.06,2.12,0,1.06,2.12,26.55,0,7.43,223.03,1.06,2.12,2.12,0,0,13.81,0,1.06,0,24.43,3.19,0,5.31,2.12,6.37
 96-106,0,0,2.19,0,9.84,2.19,0,99.45,3.28,2.19,1.09,36.06,2.19,0,1.09,5.46,3.28,2.19,2.19,4.37,7.65,37.16,2.19,3.28,217.48,1.09,12.02,6.56,0,1.09,6.56,0,0,0,13.11,0,0,7.65,1.09,5.46
108-118,0,0,0,0.77,13.79,1.53,0.77,77.36,0.77,0.77,0,34.47,3.06,0,1.53,4.6,1.53,1.53,0,2.3,9.19,26.04,1.53,4.6,213.7,0,7.66,4.6,0,0,7.66,0,0.77,0,13.79,3.06,0.77,6.89,1.53,7.66
120,0,0,0,0,19.6,3.92,0,82.31,0,3.92,0,31.36,0,0,0,11.76,0,0,0,1.96,1.96,31.36,1.96,7.84,264.57,1.96,5.88,3.92,0,0,3.92,0,1.96,0,7.84,0,1.96,5.88,0,5.88
