stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,1.64,9.85,0,0,0,0,75.52,0,0,0,0
 36-46,2.42,0,0.81,0,1.61,0,0,0,0,2.42,0,0,0,0.81,0,4.03,0,0,0,0,91.04,0.81,0.81,0,0
 48-58,0.57,0,1.15,0,0,0.57,0,0,0,1.15,0,0,0,0.57,0,8.03,0,0,0,0,118.78,0.57,0,0,0
 60-70,5.89,0,0,0,2.94,0,0,0,0,2.94,0,0,0,2.94,0.98,5.89,0,0,0,0,184.53,0.98,1.96,0.98,0
 72-82,10.8,0,0.98,0,0.98,0.98,0,0,0,9.82,0,0,0,1.96,1.96,5.89,0.98,0.98,0,0,190.44,0,0,0,0
 84-94,20.18,0,4.25,0,8.5,1.06,1.06,0,0,14.87,0,0,0,1.06,6.37,4.25,0,0,1.06,0,641.47,0,0,1.06,0
 96-106,33.88,0,1.09,0,3.28,1.09,0,0,1.09,24.04,0,1.09,2.19,6.56,8.74,10.93,0,1.09,0,0,495.06,0,0,1.09,0
108-118,29.11,0.77,1.53,0,9.19,0.77,0.77,0,0.77,19.92,0.77,0,0,1.53,6.89,8.43,0,0,0,0,420.51,0.77,0,1.53,0.77
120,37.24,1.96,3.92,1.96,1.96,0,1.96,0,0,11.76,0,0,0,1.96,5.88,9.8,0,1.96,0,0,256.73,0,0,0,0
