stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0
 14-21,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0
 24-34,0,0,0,0.82,0,0,9.03,0,0,0,0,0,0,0,0,1.64,0,0,13.95,0,0,0,0,3.28,0,0,0
 36-46,0,0,0,0,0.81,0,5.64,0,0,0,0.81,0,0,0,0,1.61,0,0.81,22.56,1.61,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,33.28,0,0,0.57,2.3,0,0,0,0,1.72,0,0,21.8,0,0,0,0,2.87,0,1.15,0
 60-70,0,0,0,0,0,0,278.75,0,0,0,3.93,0,0,0,0,2.94,0,2.94,23.56,0,0,0.98,0,2.94,0,0.98,0
 72-82,0,0,0,0,1.96,0,461.38,0,0,0,11.78,0,0,0,0,5.89,0,0,29.45,0,0,0,0,3.93,0,0.98,0.98
 84-94,0,0,0,0,1.06,0,316.49,1.06,1.06,1.06,3.19,0,1.06,1.06,1.06,13.81,1.06,2.12,16.99,0,0,0,0,2.12,0,2.12,1.06
 96-106,0,0,0,0,0,1.09,201.08,0,0,0,9.84,0,2.19,0,0,7.65,0,1.09,8.74,0,1.09,0,0,1.09,0,0,1.09
108-118,0,0,0.77,0,0.77,0,116.43,0,0,1.53,10.72,0.77,0,0,0,2.3,0,0.77,6.13,0,0,0,0,0,0.77,0,0.77
120,0,0,0,0,0,0,84.27,0,3.92,0,5.88,0,0,0,0,1.96,0,0,11.76,0,1.96,1.96,0,0,0,0,0
