stage,epidermis,erythrocytes,eye,glial,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,somites,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,1,1,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,3.28,1.64,0,0,0,0
 36-46,0.81,0,0.81,1.61,0,0.81,0,0.81,8.86,1.61,0,0,4.03,0
 48-58,0,0.57,0,0,0,0.57,0,0,3.44,1.72,0,0,1.15,0
 60-70,0,0,1.96,0,0,1.96,0,0,2.94,3.93,0,0,0,0.98
 72-82,0,0.98,1.96,0.98,0.98,4.91,0,0,2.94,0.98,0.98,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,2.12,4.25,2.12,0,0,0
 96-106,0,1.09,1.09,0,0,2.19,0,0,3.28,10.93,0,0,0,0
108-118,0,0,0,0,0,1.53,0.77,0,0.77,2.3,0,0,0,0
120,0,0,0,3.92,0,0,0,0,1.96,5.88,0,0,0,0
