stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,immune,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,presomitic.mesoderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,1,0,0,4,1,0,0,1,1,1
 24-34,0,0,0,0,0,0,0,0,0.82,0,0.82,4.93,0,0,0,0,1.64,0
 36-46,0,0.81,0,0,0.81,0,0,0,0,0.81,0,4.03,0,0.81,0,0,3.22,0
 48-58,0,0.57,0,0,0.57,0,0.57,0.57,0.57,0.57,0,2.3,0,0,0,0,0,0
 60-70,0,0.98,0,0,4.91,0,1.96,0.98,1.96,0,0,3.93,0,0,0,0,0.98,0
 72-82,0,0,0.98,0,0.98,0.98,0,0,0.98,0,0,5.89,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,1.06,0,2.12,0,0,7.43,0,0,0,0,1.06,0
 96-106,0,0,0,0,2.19,1.09,1.09,0,0,0,0,2.19,0,0,1.09,0,0,1.09
108-118,0,0.77,0,0.77,0.77,0.77,0,0,2.3,0,0.77,3.06,0.77,0,0,0,0,0.77
120,0,0,0,0,0,0,3.92,0,1.96,0,0,3.92,1.96,0,0,0,0,0
