stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,23,1,0,0,0,0,0,1,10,0,0,0,0
 24-34,0,0,0,0,6.57,0,0,9.03,0,0,0,1.64,0,0,0,0,0.82,0,1.64,0,6.57,0,0,1.64,86.19,0,3.28,3.28,0,3.28,0,0.82,18.06,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,0,13.7,0.81,0,1.61,4.03,0,0,0,0,0,0,0,0,16.92,0,0,4.03,66.87,0.81,0.81,1.61,0,0,0,0,10.47,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,24.67,0,0.57,0,5.74,0,0,0.57,1.15,0,0,0,0,9.75,0.57,0,0.57,52.79,0.57,0.57,0.57,0,1.72,0,0,16.07,0,0,0,0
 60-70,0,0,0,0,0,0,0,19.63,0,0.98,0,4.91,0,0,0,0,0,0,0.98,0,19.63,0,0,1.96,44.17,0,0,0.98,0,0.98,0.98,0,4.91,0,0,0,0
 72-82,0,0,0,0,0.98,1.96,0,13.74,0,0,0.98,4.91,0,0,0,0,0.98,0,0.98,0,11.78,0,1.96,0,30.43,0.98,0.98,0,0,1.96,0,0,3.93,0.98,0,0,0
 84-94,1.06,0,1.06,0,1.06,0,0,19.12,0,0,0,3.19,1.06,1.06,0,0,1.06,1.06,0,0,2.12,0,2.12,0,15.93,2.12,2.12,0,0,3.19,0,0,1.06,0,1.06,0,0
 96-106,0,0,0,0,2.19,0,0,7.65,0,0,0,2.19,2.19,0,1.09,1.09,0,1.09,0,0,9.84,0,0,0,22.95,0,1.09,0,0,3.28,0,0,0,0,1.09,1.09,2.19
108-118,0,0,0.77,0,3.06,0.77,1.53,3.83,0,0.77,0.77,6.13,0,0,0.77,1.53,0,0.77,0,0.77,5.36,0.77,0.77,1.53,12.26,0,0,1.53,0,2.3,0,0,3.83,0,1.53,0,0
120,0,0,0,0,5.88,1.96,1.96,5.88,0,1.96,0,3.92,1.96,0,0,1.96,0,0,0,0,3.92,0,0,0,7.84,1.96,0,0,0,0,0,0,1.96,0,0,0,0
