stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,2.63,0,0,2.63,0,0,0,0,15.77,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,0,2,21,0,0,0,1,0,3,10,1,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,0,10.67,0,0,0,0,0.82,0,2.46,0,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,0,0,9.67,0,0,0,0,0,0,4.03,0,0
 48-58,0,0,0,0,4.02,1.15,0,0,0,0,0,0.57,4.59,0,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,2.94,0.98,1.96,0,0,0.98,0.98,0,3.93,0,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,0.98,0.98,0.98,1.96,0,0,0.98,0,3.93,0,0.98,0,0,0,0,0,0,3.93,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,1.06,1.06,2.12,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,6.56,0,0,2.19,0,0,0,0,2.19,0,0,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0.77,4.6,0.77,0,0,0,0,3.06,0,2.3,0.77,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96
