stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0.82,0.82,0,0,0,0,0,0,6.57,0,0.82,1.64,2.46,0,3.28,0,0,0
 36-46,0,0,0.81,0,5.64,0.81,0,0,3.22,0,0,0,0,0,0,0,12.09,0.81,0.81,0,0,0,4.03,0,0.81,0
 48-58,0,0,0.57,0,27.54,0,0,0,5.74,0,0,0,0,0,0.57,0,25.25,0,0,0.57,0.57,0,8.03,0,0,0
 60-70,0,0,0,0,51.04,0,0.98,0.98,6.87,0,0.98,0.98,0,0,0.98,1.96,40.24,0,0.98,0,0,0,4.91,0,0,0
 72-82,0,0,0.98,0,44.17,0,0,0,15.71,0.98,0,0,0.98,0,6.87,0,36.32,0,0,0,0,0,3.93,0,0,0
 84-94,0,0,1.06,1.06,27.61,0,0,0,11.68,0,0,0,0,0,1.06,1.06,24.43,0,0,0,1.06,0,3.19,0,0,1.06
 96-106,0,0,4.37,1.09,22.95,0,0,0,10.93,1.09,0,0,0,1.09,1.09,0,19.67,0,0,0,5.46,0,4.37,0,0,0
108-118,0,0,0.77,0,21.45,0,0,0,11.49,0,0.77,0.77,0,1.53,0.77,0.77,14.55,0,0.77,0,0,0,0.77,0.77,0,0
120,0,0,0,0,13.72,0,0,0,1.96,0,0,0,0,0,0,0,19.6,0,0,0,0,0,3.92,0,0,0
