stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,1
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0,0,1.64,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0.98,0,0,2.94,0,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,0.98,2.94,0,1.96,0,0,0,0,0,0,2.94,0,0,1.96,0,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,1.06,0,0,1.06,1.06,0,0,2.12,0,1.06,1.06,0,0,4.25,0,0,0,4.25,0,0,0,0
 96-106,0,0,0,0,2.19,1.09,0,0,0,0,4.37,1.09,0,0,1.09,1.09,1.09,0,1.09,0,3.28,0,0,1.09,1.09
108-118,0,0,0.77,0,0,0,4.6,0,0,0,6.13,0,0,0.77,0,0.77,3.06,0,0,0,1.53,0,1.53,0,0.77
120,0,0,0,0,0,0,0,0,0,1.96,5.88,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0
