stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,6.13,0,0
  7-9,0,2.63,23.66,0,0,0,0,0,0,0,0,0,0,0,15.77,0,15.77,2.63,0,0
 10-12,0,3.15,6.29,0,3.15,0,0,0,0,0,0,0,0,0,12.59,0,9.44,15.73,3.15,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,14,0,0
 24-34,0,0,1.64,0.82,0,0,0,0,0.82,0,3.28,0,0,1.64,4.1,0,0,73.88,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,37.06,0,0
 48-58,0,0,0,0.57,0.57,0.57,0,0.57,0.57,0,2.3,0,1.72,1.15,1.72,0,0,26.4,0,0
 60-70,0,0,0,2.94,0.98,0.98,0.98,0,0,0,5.89,0.98,0,0,2.94,0,0,28.46,0,0
 72-82,0,0,0,0,0,0,0,0,1.96,0,6.87,0,0.98,0.98,0.98,0,0,27.49,0,0
 84-94,0,0,0,2.12,0,0,1.06,0,0,0,11.68,0,1.06,2.12,1.06,0,0,73.28,0,0
 96-106,0,0,0,5.46,0,1.09,0,0,0,1.09,10.93,1.09,0,0,2.19,0,0,45.9,0,0
108-118,0,0,0,2.3,0.77,0,0,0,1.53,1.53,9.19,0,0,1.53,3.83,0.77,0,32.17,0,0
120,0,0,0,7.84,0,0,3.92,0,0,0,7.84,1.96,0,1.96,0,0,0,33.32,0,0
