stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,5.26,0,0,0,23.66,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,283.9,2.63,0,0,10.51,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,28.32,0,6.29,0,34.62,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,459.46,3.15,0,0,31.47,0,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,14,40,5,0,6,0,0,0,4,1,1,0,0,38,0,0,0,0,2,0,0,2,739,0,0,2,0,1,1,2,0,0,7,321,0,0,0,0,0
 24-34,0,0,0,45.97,0.82,0,13.95,0,0,0,12.31,0,0.82,0.82,0.82,9.03,0,0,1.64,0,6.57,0.82,0,7.39,2405.11,0,0.82,0.82,0,5.75,0,0,0.82,0,0.82,545.05,0,0,0.82,0,0.82
 36-46,0,0,0,41.09,0,0,27.39,0.81,0.81,0,96.68,0,0,0,1.61,1.61,0,0,0,0.81,8.86,0,0,12.09,2939.08,1.61,1.61,0.81,0,3.22,0,0.81,0.81,0,0,597,0,0,2.42,0,0.81
 48-58,0,0,0,61.97,0,0,44.76,0,1.72,1.15,177.31,0,0,0.57,2.3,5.74,0.57,0.57,0,1.72,11.48,0,1.15,1.72,1366.23,0,0.57,0,0,1.15,0,0,0,0.57,0,330.51,0,0,1.15,0,0.57
 60-70,0,0,0,78.52,0,0,27.48,0,0.98,0.98,88.34,0.98,0,0,5.89,2.94,0,0,0,0,10.8,0.98,1.96,1.96,494.69,0,0,0.98,0,6.87,0,0,0,0,0,62.82,0.98,0,0.98,0,0.98
 72-82,0,0,0,101.11,0,0,63.81,0,2.94,0,114.85,0.98,0,0,8.83,14.72,0,0,0,0.98,18.65,0.98,0.98,2.94,433.89,0,0.98,1.96,0,11.78,0,0,0,0,0,20.61,0,0,2.94,0.98,0
 84-94,0,0,0,237.9,1.06,0,62.66,0,10.62,0,65.85,3.19,0,1.06,4.25,27.61,1.06,1.06,1.06,0,9.56,4.25,0,1.06,262.32,0,0,4.25,0,24.43,0,0,1.06,0,0,19.12,0,0,5.31,0,0
 96-106,0,1.09,0,205.46,1.09,0,55.74,0,6.56,0,61.2,2.19,0,1.09,6.56,10.93,1.09,0,0,0,13.11,4.37,1.09,1.09,210.92,0,5.46,3.28,0,62.29,1.09,0,0,0,0,9.84,3.28,2.19,4.37,0,0
108-118,0,0.77,0.77,175.41,1.53,0.77,31.4,0,15.32,0,51.32,2.3,0,0,9.19,13.79,0.77,0.77,1.53,0.77,18.38,1.53,3.06,0,256.6,0.77,0.77,0.77,0,49.02,0,0,0.77,0.77,0,6.13,3.83,0.77,9.96,0,3.83
120,0,0,0,219.5,0,1.96,52.91,0,5.88,1.96,48.99,1.96,0,0,9.8,7.84,0,0,0,0,13.72,5.88,1.96,1.96,250.85,0,3.92,0,0,80.35,0,0,0,0,0,11.76,1.96,1.96,9.8,0,0
