stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,461.23,869.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,778.46,1072.69,0,18.39,0,0,0,0,0,0,0,79.69,0,0,0,0,0,0,269.7,55.17,0,0,49.04,18.39,0,0,0,0,0,0,0,0,0
  7-9,594.09,31.54,0,457.4,0,0,18.4,0,0,0,0,570.43,0,0,0,0,0,0,381.16,533.63,0,0,843.82,0,5.26,0,0,0,0,0,0,0,0
 10-12,9.44,15.73,0,157.35,0,9.44,25.18,0,0,0,0,173.08,0,0,0,0,0,0,179.38,509.81,0,0,472.05,3.15,3.15,3.15,25.18,0,12.59,0,0,0,0
 14-21,0,0,1,21,45,80,3,0,0,1,4,37,0,1,9,104,0,135,46,412,1,0,5,1,0,23,5,123,120,48,0,5,0
 24-34,0,0,0,0.82,6.57,2.46,0.82,0,0,0,0.82,1.64,0.82,8.21,4.1,30.37,0.82,4.93,11.49,78.8,0,0,0,0,0,0,0,9.03,0,6.57,0,7.39,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,8.86,0.81,9.67,0.81,0,8.86,39.48,0,0,0,0,0,0,0,0.81,0,1.61,0,1.61,0
 48-58,0,0,0,0,0.57,0,5.16,0,0,0,0,0,0,2.87,0,4.59,0,0,9.18,8.03,1.15,0,0,0,0,0,0,2.3,0,1.15,0,0,0
 60-70,0,0,0,0,0,0,5.89,0,0,0,0,0,0,0.98,0.98,2.94,0,0,10.8,0.98,0,0.98,0,0,0,0,0,0.98,0,0.98,0,0,0.98
 72-82,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0.98,3.93,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31,0,1.06,0,0,3.19,1.06,0,1.06,0,1.06,0,0,0,0,0,2.12,0,1.06,0
 96-106,0,0,1.09,0,1.09,0,2.19,0,1.09,0,0,0,0,3.28,0,3.28,0,0,5.46,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0,0,2.3,0,0.77,0.77,0,0,0,5.36,0,1.53,0,0,0.77,0,0,0.77,0,0,0.77,0,0,0.77,0,0.77,0.77,0,0
120,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,3.92,0,3.92,0,3.92,1.96,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0
