stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,645.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,30.65,551.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,6.13,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,86.75,5.26,0,21.03,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,25.18,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,43,0,1,0,0,4,0,3,8,0,0,0,0
 24-34,0,0,0,0,1.64,8.21,0,0,0,0,0.82,0,0,0,0,0,0,3.28,0,2.46,54.18,0.82,3.28,0,0,0,0,1.64,20.52,0,1.64,0,0
 36-46,0,0,0,0,0.81,12.09,0,0,0.81,3.22,0,0,0,0,0,0,0,12.89,0.81,0.81,56.4,0,0,0,2.42,0,0,0,9.67,0,0,0,0
 48-58,0,0,0,0,0.57,9.18,0,0,0.57,5.74,0,0,0,0,0,0,0,9.18,0.57,2.3,42.46,0,0,0,0.57,0,0,0,10.9,0,0.57,0,0.57
 60-70,0,0,0,0,0,14.72,0.98,0,0,5.89,0,0,0,0,0,0,0,4.91,0.98,0.98,20.61,0,0,0,0,0,0.98,0,3.93,0,2.94,0,0
 72-82,0,0,0.98,0,0,14.72,0,0,0,4.91,0.98,0,0,0,0,0.98,0,12.76,0,0.98,25.52,0.98,0.98,0,0,0,0,0,1.96,0,0,0,0
 84-94,0,0,0,0,0,5.31,0,0,0,0,1.06,0,0,0,0,1.06,0,3.19,0,1.06,12.74,1.06,0,0,2.12,0,0,0,1.06,0,2.12,0,0
 96-106,0,0,0,0,0,6.56,0,1.09,0,1.09,2.19,0,0,1.09,0,0,0,3.28,1.09,2.19,9.84,0,1.09,0,3.28,0,0,0,0,1.09,1.09,1.09,0
108-118,0,0,0,0,2.3,1.53,0,0,0,2.3,0,0,0.77,0,0.77,0.77,0,3.06,0,2.3,13.02,0,0.77,0,0,0,0,0,0,0,0.77,0,0.77
120,0,0,0,0,3.92,1.96,0,0,0,7.84,0,0,0,1.96,0,0,0,5.88,0,0,9.8,0,1.96,0,0,0,0,0,1.96,0,1.96,0,0
