stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,144.58,2.63,0,0,26.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,3,1,0,4,0,0,2,0,1,1,0,1,0,0,0,0,0,0,1,37,0,0,0,0,1,1,0,0,0,6,0,0,0
 24-34,0,0,0.82,0,4.1,0,0,3.28,0,0.82,1.64,0,0,0,0,4.93,0,2.46,0,10.67,0,0,1.64,115.74,0,2.46,0.82,0,8.21,0,3.28,0.82,0.82,22.16,0,0,0
 36-46,0,0,0,0,1.61,0,0,13.7,0,0,1.61,0,0,0,0.81,0,0,0.81,0,8.86,0,0,2.42,127.3,0.81,2.42,0.81,0,4.03,0,0.81,0.81,0,33.03,0,0,0
 48-58,0,0,0.57,0,2.3,1.15,0,25.25,0,0.57,8.03,0,0,0,0.57,0.57,0,0,0.57,8.61,1.15,0,1.72,106.73,0.57,1.15,1.15,0,2.3,0,1.15,0,0,20.08,0,0,0
 60-70,0,0,0,0,2.94,0,0,79.5,1.96,0.98,13.74,0,0,0,0,0,0,3.93,0,12.76,0.98,0,1.96,130.54,0,0.98,0,0,3.93,0,0.98,0,0,17.67,0,0,0
 72-82,0,0,1.96,0,2.94,6.87,0,72.64,0,0.98,8.83,0,0.98,0,0,0,0,0,0,9.82,0,0.98,0.98,73.62,0.98,2.94,0.98,0,3.93,0,0,0,0,8.83,0.98,0.98,0
 84-94,0,0,0,0,3.19,7.43,0,61.6,0,1.06,15.93,2.12,0,1.06,1.06,1.06,0,0,0,15.93,0,1.06,1.06,55.23,0,1.06,0,0,8.5,0,0,0,0,3.19,1.06,0,2.12
 96-106,0,0,0,0,5.46,4.37,1.09,39.34,1.09,1.09,5.46,0,0,1.09,1.09,2.19,0,1.09,0,9.84,0,1.09,0,45.9,0,1.09,0,0,16.39,0,0,0,0,0,1.09,0,1.09
108-118,0,0,0,0,0.77,1.53,0,40.6,0.77,0.77,8.43,2.3,0.77,0,1.53,2.3,0.77,0.77,0,4.6,0,1.53,0.77,47.49,0,1.53,0,0,7.66,0,0,0,0,2.3,0,0.77,0
120,0,0,0,0,5.88,0,0,21.56,0,0,9.8,0,0,0,1.96,0,0,0,0,5.88,1.96,0,3.92,43.12,1.96,1.96,0,0,9.8,0,0,0,0,1.96,0,0,0
