stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,5.26,2.63,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,9.03,0,0.82,13.95,1.64,0,0,0.82
 36-46,0,0,0,0.81,0,0,2.42,0.81,0,0,0,0,0,0,0,0,0,0,20.95,0,2.42,11.28,2.42,0,0,0
 48-58,0,0,0,0,0.57,0,2.3,0,0,0.57,0,0,0,0,0,0.57,0,0,29.26,0,1.72,5.16,5.16,0,0,0
 60-70,0,0,0,1.96,0,0,4.91,0.98,0,0,0,0,1.96,0,0,0.98,0,0,54.97,0,0,12.76,5.89,0,0,0
 72-82,0,0,0,0,0,0,2.94,0,0,1.96,0.98,0,0.98,0,0,1.96,0,0,45.16,0,0,1.96,2.94,0,0,0
 84-94,0,0,0,1.06,1.06,0,2.12,0,0,1.06,0,0,0,0,0,2.12,0,1.06,18.05,0,0,19.12,4.25,0,0,0
 96-106,0,0,0,2.19,0,0,0,0,1.09,2.19,1.09,0,0,0,1.09,0,0,0,19.67,0,0,5.46,0,1.09,1.09,0
108-118,0,0,0,0,0,0.77,0,0,0,1.53,0,0,0,0.77,0,0.77,0.77,0,22.98,0,0.77,6.89,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,1.96,3.92,0,0,0,0,0,0,3.92,29.4,0,0,3.92,7.84,0,0,0
