stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,20,5,0,10,0,0,0,1,2,0,0,0,1,0,0,0,0,6,0,0,5,49,1,0,1,2,0,2,15,1,2,21,17,0,0,0,0,0
 24-34,0,13.95,0,0,8.21,0,1.64,0.82,2.46,0.82,0.82,0,0,0.82,0,1.64,0.82,0,15.6,0.82,0,9.03,86.19,0.82,0.82,3.28,0,0,7.39,0,0.82,0,5.75,17.24,0,0,2.46,0,0
 36-46,0.81,5.64,0,0,12.89,0,0.81,0,3.22,0,0,0.81,0,0,0,0,0,0,18.53,0.81,0,10.47,58.81,1.61,2.42,1.61,0,0,8.06,0,0.81,1.61,0,14.5,0,0,3.22,0,0
 48-58,0,7.46,0,0,8.03,0.57,0,2.3,11.48,1.15,0,1.15,0,0,0,1.15,0,0,20.66,0,2.87,5.74,36.72,1.72,0,3.44,0,0,4.02,0,0,0,0,6.89,0,0,1.72,0,0.57
 60-70,0,2.94,0,0,5.89,0,0.98,0.98,7.85,0.98,0,0.98,0.98,0,0,0.98,0,0.98,40.24,0,0.98,2.94,19.63,0,0.98,0.98,0,0,6.87,0,0.98,0,0,5.89,0,0,1.96,0.98,0
 72-82,0.98,9.82,0,0,7.85,0,0,1.96,12.76,1.96,0.98,0.98,3.93,1.96,0,2.94,0.98,0,61.84,0,0.98,4.91,41.23,0,1.96,4.91,0,0,9.82,0,0,0,0,2.94,0.98,2.94,11.78,0.98,0
 84-94,0,18.05,0,0,13.81,0,3.19,1.06,3.19,0,2.12,1.06,3.19,3.19,0,2.12,1.06,1.06,31.86,0,0,6.37,14.87,1.06,0,3.19,0,0,21.24,0,1.06,0,0,2.12,1.06,2.12,3.19,2.12,0
 96-106,1.09,12.02,0,0,15.3,0,4.37,1.09,8.74,4.37,0,0,5.46,3.28,0,0,0,0,42.62,1.09,3.28,4.37,22.95,1.09,0,5.46,0,1.09,21.86,0,0,0,0,0,1.09,3.28,10.93,6.56,0
108-118,0.77,19.92,0.77,2.3,4.6,1.53,2.3,0.77,9.19,3.06,0,0.77,6.89,0.77,0,0.77,1.53,0,35.23,0.77,0.77,2.3,24.51,0.77,3.83,2.3,0,0.77,23.74,0,0,0.77,0,0,2.3,2.3,5.36,0,0.77
120,0,23.52,1.96,5.88,11.76,0,5.88,0,9.8,7.84,0,0,1.96,1.96,1.96,3.92,0,0,27.44,1.96,3.92,9.8,31.36,1.96,0,7.84,0,1.96,11.76,0,0,0,0,0,0,5.88,9.8,7.84,0
