stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,visceral.smooth.muscle
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,2,0,0,0,0,14,0,0,0,0,3,0,3,0,0,4,1,0,1,14,2,40,0
 24-34,0,0,0,0.82,0,0,0,0,0,24.63,0,0,0,0,0,0.82,8.21,0,4.93,3.28,0,0,0,10.67,2.46,42.68,0
 36-46,0,0,0,0,0,0,0.81,0,2.42,18.53,0,0,0,0,3.22,0,12.89,0,6.45,1.61,0,0,0,8.06,0,25.78,0
 48-58,0,0,0,0,0,0,1.72,0,0,16.64,0,0,0,1.72,2.87,0,11.48,0,4.02,2.87,0,0,0,1.15,0,24.67,0
 60-70,0,0,0,0,0,0,0.98,0,0,29.45,0,0,0,1.96,3.93,0,10.8,0,7.85,4.91,0,0,0,0.98,0,16.69,0
 72-82,0,0,0,0,0,0,2.94,0,0,32.39,0,0,0,4.91,3.93,0.98,5.89,0,12.76,9.82,0,0,0,2.94,0,8.83,0
 84-94,0,0,1.06,1.06,0,0,5.31,0,0,15.93,0,0,0,3.19,4.25,0,5.31,0,7.43,20.18,0,1.06,0,3.19,0,6.37,0
 96-106,0,0,0,0,0,1.09,1.09,0,0,17.49,1.09,0,0,9.84,5.46,1.09,5.46,0,5.46,20.76,0,1.09,0,1.09,0,8.74,1.09
108-118,0,0,0,0.77,0,0,0.77,0,0.77,13.02,0.77,0.77,0.77,6.89,3.06,0,3.06,0,3.06,10.72,0,0,0,3.83,0,4.6,0
120,0,0,0,0,0,0,3.92,1.96,1.96,5.88,0,0,0,5.88,0,0,7.84,0,0,9.8,0,0,0,0,0,0,0
