stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,2,0,272,120,5,0,0,0,0,0
 24-34,0.82,7.39,0,0,12.31,227.38,0,0,7.39,0,0,4.1,0.82,0,0,0,1.64,1.64,13.95,0,0,32.83,155.96,2.46,0.82,0.82,0,0,8.21,0,0.82,1.64,242.15,233.12,37.76,0,0,9.85,0,0.82
 36-46,0,4.83,1.61,0,42.7,467.29,0.81,0,5.64,0,0,4.03,1.61,0.81,0.81,0.81,0,0,23.36,0,0,25.78,172.41,0.81,2.42,1.61,0,0,5.64,0,0,0,208.67,18.53,45.12,0,0,1.61,0.81,4.03
 48-58,0,3.44,0.57,0,81.48,448.72,1.15,1.72,18.36,0,0,2.3,1.15,0,0.57,0,1.72,2.87,42.46,0.57,0,29.26,216.9,1.72,3.44,1.72,0,0,5.74,0,0,0.57,171.57,0,53.94,0,0,3.44,0,2.3
 60-70,0,4.91,0.98,0,67.73,332.74,2.94,0.98,8.83,6.87,0,2.94,0.98,0,0.98,0,0,0,23.56,1.96,0.98,18.65,123.67,0,0,0,1.96,0,6.87,0,0,1.96,108.95,0,19.63,0,0,0.98,0,0.98
 72-82,0,3.93,1.96,0,60.86,238.54,0.98,3.93,17.67,23.56,0,1.96,0.98,0,0.98,0,1.96,0.98,30.43,0,0,22.58,102.09,0,2.94,0,0,0.98,5.89,0,0,4.91,64.79,0,9.82,0,0,7.85,2.94,2.94
 84-94,0,21.24,11.68,0,60.54,395.08,1.06,1.06,14.87,91.34,1.06,6.37,8.5,1.06,0,0,4.25,1.06,36.11,1.06,0,23.36,90.27,1.06,3.19,0,0,1.06,39.3,0,0,7.43,122.13,0,16.99,1.06,1.06,1.06,2.12,4.25
 96-106,0,32.79,21.86,1.09,88.52,657.89,1.09,5.46,27.32,113.66,0,10.93,9.84,4.37,0,2.19,5.46,0,78.68,2.19,2.19,45.9,158.46,0,2.19,5.46,1.09,3.28,38.25,1.09,0,7.65,120.21,0,6.56,2.19,1.09,5.46,2.19,2.19
108-118,0,22.98,6.89,0.77,64.34,507.83,3.83,2.3,20.68,234.38,0,4.6,5.36,2.3,2.3,0.77,6.89,1.53,55.15,1.53,3.06,43.66,153.96,0.77,0,3.06,0,0,21.45,0,0,5.36,110.3,0,4.6,0.77,3.06,7.66,1.53,4.6
120,0,3.92,3.92,1.96,31.36,286.13,0,0,9.8,121.51,0,3.92,0,0,0,0,7.84,0,23.52,1.96,0,19.6,96.03,0,1.96,0,0,1.96,9.8,0,0,7.84,41.16,0,7.84,0,1.96,3.92,0,0
