stage,axial,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,30.37,7.39,0,0,0,0,0,0,1.64,0,0.82,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0,0,60.43,19.34,0,0,0,0,0,0,9.67,0,0,0
 48-58,0,0,0,0,0,8.61,0,0.57,0,0,0,0.57,0,0.57,0,0,105.01,16.07,0,0,0.57,0,0,0,10.9,0,0,0.57
 60-70,0,0,0,1.96,0,15.7,0,0.98,0,0,0,2.94,0,1.96,0,0,243.42,19.63,0,0,0,0,0.98,0.98,14.72,0,0,0
 72-82,0,0,0,0.98,0,37.3,0,2.94,0,0,0,1.96,0,2.94,0,0,383.83,36.32,0,0,0,0,0,0,29.45,0,0,0
 84-94,0,0,1.06,5.31,0,40.36,0,5.31,0,0,0,6.37,0,3.19,0,0,200.73,52.04,0,0,3.19,0,0,0,9.56,0,0,0
 96-106,0,0,0,4.37,0,39.34,0,12.02,1.09,0,0,1.09,1.09,6.56,0,0,212.01,112.56,0,0,0,1.09,1.09,0,6.56,1.09,0,0
108-118,0,0,0,3.06,0.77,25.28,0.77,7.66,0,0,0,6.89,0,2.3,0.77,0,210.64,67.4,0.77,0,0,0,0,0.77,4.6,0,0.77,0
120,0,0,0,1.96,0,39.2,0,15.68,0,0,1.96,0,0,7.84,0,0,233.21,60.75,1.96,0,0,0,0,0,5.88,0,0,0
