stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0
 24-34,0,0,0,0,1.64,0.82,0,4.93,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,572.14,0,1.64,0,0,0,0.82,0,0,0,32.83,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,41.09,0,0,0,4.03,0,0,0,0,0,0,0,0,0,2.42,0,0,2.42,1724.13,0,8.86,0.81,0,0,1.61,0,1.61,0,82.18,0,0,0.81,0,0.81
 48-58,0,0,0,0,13.2,2.3,0,372.97,0.57,2.3,2.3,57.95,0.57,0.57,0.57,0.57,1.15,1.72,1.15,0,0.57,37.3,0,1.72,4.59,3714.24,1.15,14.92,0.57,0,0,6.89,0,0.57,1.15,235.26,0,0,2.87,0,3.44
 60-70,0,0,0.98,0,10.8,2.94,0,834.29,1.96,2.94,2.94,93.24,0,0.98,0.98,8.83,0,1.96,3.93,2.94,1.96,61.84,0,3.93,8.83,6289.59,2.94,12.76,1.96,0,0.98,11.78,0,2.94,1.96,418.13,0,0.98,6.87,0.98,4.91
 72-82,0,0,2.94,0,59.88,15.71,0,1046.45,0.98,4.91,8.83,150.19,5.89,0,3.93,2.94,0,3.93,0.98,1.96,1.96,112.89,0.98,3.93,10.8,5232.26,0,34.36,2.94,0,1.96,7.85,0,0,0.98,295.48,0,2.94,11.78,1.96,5.89
 84-94,0,0,1.06,1.06,61.6,7.43,0,797.59,2.12,4.25,1.06,118.95,3.19,0,3.19,4.25,1.06,5.31,2.12,2.12,1.06,74.34,1.06,6.37,3.19,2846.26,0,23.36,2.12,0,0,10.62,0,1.06,1.06,199.66,1.06,3.19,4.25,2.12,3.19
 96-106,0,0,2.19,1.09,52.46,13.11,0,520.2,1.09,5.46,0,87.43,3.28,0,0,5.46,2.19,3.28,0,4.37,0,62.29,0,1.09,1.09,2081.87,1.09,25.14,2.19,0,1.09,16.39,0,3.28,0,69.94,1.09,0,6.56,3.28,2.19
108-118,0,0,0,0,36.77,3.06,0.77,399.83,0.77,1.53,0.77,51.32,3.83,0,0.77,3.06,1.53,1.53,0.77,0,0,41.36,0,2.3,2.3,2730.66,0.77,16.09,3.83,0,1.53,6.89,0,0.77,0,55.15,0.77,3.06,3.83,3.83,1.53
120,1.96,0,0,0,66.63,15.68,1.96,670.25,0,3.92,1.96,105.83,5.88,0,0,9.8,0,1.96,1.96,13.72,0,72.51,0,0,9.8,4131.23,1.96,45.08,3.92,0,1.96,21.56,0,5.88,0,80.35,0,1.96,5.88,1.96,1.96
