stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,5,1,0,0,15,1,0,1,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,14.78,0,0,0,0,0.82,1.64,0,0.82,4.1,4.1,0,0,72.24,0,4.1,0,1.64,0,0,0,0
 36-46,0,2.42,0,0.81,0,0,0,0,0,0,3.22,0,0,0.81,0,0,0,0,0,6.45,3.22,0,0,53.17,0,1.61,0,0,0,0,0.81,0
 48-58,0,16.64,0,1.72,0.57,0,0,1.15,0,0,5.74,0,0,1.15,0,1.15,0.57,0,0.57,6.89,2.87,0,0,22.38,0,0.57,0,1.72,0,0,0,0
 60-70,0,63.8,0.98,3.93,0,0.98,0,0,0,0,2.94,0,0,8.83,0,0,0,0,0,5.89,0.98,0,0,26.5,0,1.96,0,0,0,0.98,0.98,0
 72-82,0.98,208.11,0,7.85,0,0,2.94,0.98,0,0.98,9.82,0,0.98,38.28,0,2.94,0,0,0,11.78,1.96,0,0,7.85,0,0,0,2.94,0,0,0,0
 84-94,4.25,167.8,1.06,3.19,1.06,0,2.12,1.06,1.06,0,23.36,0,1.06,173.11,0,4.25,0,1.06,0,11.68,5.31,0,0,43.54,0,3.19,0,0,1.06,0,0,1.06
 96-106,5.46,215.29,0,4.37,0,0,2.19,1.09,0,2.19,20.76,0,1.09,226.22,1.09,4.37,0,1.09,0,32.79,10.93,1.09,0,16.39,0,1.09,0,1.09,1.09,0,0,0
108-118,5.36,137.11,0,6.89,0,0,3.83,3.83,0.77,0,16.09,0.77,0.77,403.66,0,3.83,1.53,0,0.77,22.21,3.06,0,0,15.32,0,3.06,0.77,0,0,0,1.53,0
120,3.92,141.1,3.92,1.96,1.96,0,3.92,3.92,1.96,1.96,15.68,0,1.96,194.02,0,3.92,0,0,1.96,17.64,3.92,0,0,11.76,0,3.92,0,0,0,0,1.96,0
