stage,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2
 24-34,0.82,0,0.82,0,0,0.82,0,0,0,0,29.55,0.82,0.82,0.82,0,0,7.39
 36-46,0.81,0,3.22,0,0.81,0,0,0,1.61,0,22.56,0,3.22,0,0,0,10.47
 48-58,1.72,0.57,4.02,0,4.59,0,0.57,0,1.15,0.57,6.89,0,1.15,0.57,0,0,3.44
 60-70,0.98,0,2.94,0,3.93,0.98,0,0,1.96,0,5.89,0,1.96,0,0,0,1.96
 72-82,0,0,2.94,0,1.96,0,0,0.98,1.96,0,4.91,0,1.96,0,0,0,0
 84-94,2.12,0,4.25,0,3.19,0,0,0,0,0,5.31,0,3.19,0,0,0,0
 96-106,2.19,2.19,7.65,0,3.28,1.09,0,0,1.09,0,2.19,0,2.19,1.09,0,1.09,1.09
108-118,2.3,0,2.3,0.77,4.6,0,0,0,3.83,0,2.3,0,0.77,0,0,0,0
120,1.96,0,3.92,0,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0
