stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,122.59,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,0,0,0,0,0
  7-9,2.63,0,0,0,7.89,0,0,0,0,0,0,0,36.8,0,0,23.66,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,3,0,3,9,0,0,0,0,3,7,6,4,0,0
 24-34,0,0,0,0.82,0,0,0,0.82,0.82,11.49,0,13.95,18.06,0,0.82,0,0,0,4.1,5.75,0,0,0
 36-46,0,0,0,0,2.42,1.61,0,0,0,16.92,1.61,8.06,15.31,0,0,0,0.81,0,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0.57,0,0,0,20.08,1.15,7.46,6.89,0,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,1.96,1.96,0.98,0,0,15.7,0,4.91,4.91,0,0,0,0,0,2.94,0,0,0,0
 72-82,0,0,0.98,0,0.98,0.98,0,0,0,14.72,4.91,5.89,1.96,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,1.06,11.68,0,5.31,1.06,0,0,0,0,0,1.06,0,0,1.06,3.19
 96-106,0,0,0,0,1.09,1.09,0,1.09,0,10.93,1.09,1.09,1.09,0,0,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0,0,0,3.83,0.77,1.53,0,0,0.77,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,3.92,0,1.96,1.96,0,0,0,0,0,0,0,0,0,3.92
