stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,taste
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.46,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,21.03,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,15.73,0,0,0
 14-21,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,37,1,2,0
 24-34,0,0,4.93,0,0,0,0.82,0,0,0,0,0,7.39,0,0,0,0,0,0,1.64,0,5.75,0,30.37,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,1.61,0,14.5,0,11.28,0,34.64,0,0,0
 48-58,0,0,0.57,0,0,0,0.57,0,0,0,0,0,0.57,0,0,0,0,2.87,0,6.31,0,14.35,0.57,21.23,0,1.15,0
 60-70,0,0,2.94,0,0,0,0,0.98,0,0.98,0,0,1.96,0,0,0,0.98,0.98,0,2.94,0,12.76,0,19.63,0,0.98,0.98
 72-82,0,0,6.87,0,0,0,0,0,0,1.96,0,0,0.98,1.96,0,0,0.98,6.87,0,5.89,0,33.38,0.98,18.65,0,0,1.96
 84-94,0,0,12.74,0,0,0,1.06,0,0,7.43,1.06,0,4.25,2.12,1.06,1.06,1.06,7.43,0,4.25,0,30.8,2.12,55.23,0,0,2.12
 96-106,0,0,25.14,1.09,1.09,1.09,2.19,0,2.19,4.37,0,0,1.09,1.09,0,3.28,2.19,8.74,0,0,0,49.18,2.19,26.23,0,0,4.37
108-118,0,0,20.68,0,0,0,1.53,0.77,0.77,6.89,0,1.53,6.13,6.13,0,0,2.3,3.06,0,4.6,0,43.66,1.53,31.4,0,0.77,4.6
120,0,0,29.4,0,0,1.96,0,0,0,1.96,0,0,5.88,1.96,0,0,0,3.92,1.96,1.96,0,15.68,1.96,43.12,0,0,5.88
