stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,263.57,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,55.17,12.26,0,0,6.13,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,28.92,0,42.06,0,0,70.98,0,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,633.52,47.32,0,0,304.93,0,10.51,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,122.73,0,22.03,116.44,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,1350.05,50.35,0,0,421.69,0,3.15,3.15,3.15,69.23,0,3.15,0,0,0,0,0,0
 14-21,0,2,0,23,315,51,57,0,3,0,38,22,0,8,0,5,0,1,1,2,153,1,0,162,1040,71,7,29,37,0,8,1,112,17,16,153,571,0,0,13,0,0
 24-34,0,0.82,0,10.67,84.55,7.39,118.2,0,8.21,4.1,52.53,5.75,0,10.67,0,3.28,1.64,11.49,1.64,6.57,252,2.46,2.46,123.95,1260.83,56.64,9.85,17.24,0,0.82,4.93,0,0.82,4.1,2.46,27.09,438.34,0,0,41.86,0,3.28
 36-46,0,0,0,1.61,33.84,0,147.44,0.81,4.83,13.7,121.66,1.61,0,8.86,0,0.81,0,9.67,2.42,0.81,333.55,0.81,11.28,87.82,1035.29,48.34,5.64,11.28,0,0.81,2.42,0,0.81,3.22,0.81,0,410.09,0,0.81,33.84,0.81,3.22
 48-58,0,0,0,0,18.94,2.87,168.7,1.15,4.02,21.8,179.6,1.15,5.16,8.61,0,1.15,0.57,6.31,0.57,1.72,448.72,0.57,13.2,44.18,513.56,22.38,2.87,14.35,0,2.3,1.15,0,0,0.57,0,0,271.98,0,3.44,21.8,0.57,6.89
 60-70,0,0,0.98,0,26.5,6.87,139.38,0.98,7.85,19.63,250.29,3.93,1.96,5.89,0,0,4.91,5.89,1.96,0.98,586.95,1.96,29.45,34.35,281.7,7.85,1.96,9.82,0,7.85,0,0,0,1.96,0,0,118.76,1.96,24.54,19.63,7.85,2.94
 72-82,0,0,0.98,0,35.34,13.74,92.28,3.93,2.94,31.41,345.54,20.61,1.96,7.85,1.96,1.96,4.91,6.87,1.96,1.96,712.69,1.96,32.39,27.49,197.31,10.8,5.89,29.45,0,15.71,3.93,0,0,0.98,0.98,0,47.12,1.96,29.45,41.23,28.47,2.94
 84-94,0,0,2.12,0,53.1,19.12,104.08,6.37,11.68,25.49,231.52,32.92,2.12,6.37,1.06,4.25,15.93,8.5,6.37,2.12,512.96,3.19,43.54,36.11,105.14,24.43,6.37,20.18,0,11.68,9.56,0,0,4.25,0,0,39.3,4.25,26.55,27.61,23.36,0
 96-106,0,0,1.09,0,45.9,17.49,74.31,2.19,2.19,12.02,207.64,42.62,0,7.65,3.28,3.28,8.74,7.65,3.28,1.09,386.87,1.09,22.95,27.32,124.58,12.02,7.65,19.67,0,18.58,12.02,1.09,0,7.65,0,0,26.23,3.28,25.14,42.62,21.86,1.09
108-118,0,0,3.06,1.53,60.51,16.09,58.21,0.77,6.89,16.09,193.79,31.4,0,3.83,2.3,3.83,13.02,10.72,5.36,2.3,360.77,2.3,16.85,32.17,150.89,21.45,3.83,17.62,0,16.09,5.36,0,0,4.6,0,0,8.43,6.13,17.62,25.28,18.38,3.06
120,1.96,0,0,0,43.12,9.8,58.79,0,0,5.88,166.58,31.36,0,3.92,1.96,0,5.88,1.96,3.92,0,233.21,1.96,13.72,15.68,113.67,23.52,7.84,17.64,0,13.72,1.96,0,0,7.84,0,0,9.8,3.92,17.64,13.72,21.56,0
