stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,liver,mucous,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,6.13,159.37,0,0,0,0,0,0,0,0,24.52,6.13,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,44.69,2.63,10.51,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0
 14-21,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0
 24-34,0,0,0,0.82,0.82,0,0.82,0.82,0.82,0,2.46,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,1.61,0,0,0.81,0.81,0.81
 48-58,0,0,0,0,0,0.57,0,0,0,0,1.72,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0
108-118,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0
