stage,blastomeres,epidermis,eye,fin_epithelia,glial,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,4.91,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,3.93,0,0,0.98,0,1.96,0,0,0.98,0,0,0.98,0
 84-94,0,0,2.12,0,0,1.06,1.06,8.5,0,0,1.06,0,0,0,0
 96-106,0,1.09,1.09,0,1.09,1.09,0,17.49,1.09,0,2.19,0,1.09,0,0
108-118,0,3.06,0.77,0.77,0,1.53,1.53,3.83,0.77,0,0.77,0,0,0,0
120,0,0,0,0,0,0,0,17.64,0,0,1.96,0,0,0,0
