stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,12.59,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,4,0,0,0,0,0,2,0,0,0,1,1,0,3,2,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,0.82,22.16,0,0,0,0.82,0,55.82,2.46,0.82,0,9.03,0,0.82,0.82,8.21,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,8.86,0,0,1.61,0,0.81,82.98,0,0,0,5.64,0,0,0,8.86,0,0,0.81,0
 48-58,0,0,0,0,0.57,2.87,0,0,2.3,0.57,0,0.57,0,0,101.56,0,1.15,0,1.72,0,0,0,5.16,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,0,0.98,0,0,0,0,0,99.13,0,2.94,0,0.98,0,0,0,6.87,0,0.98,0,0
 72-82,0,0,0,0,0,10.8,2.94,0,4.91,0,0,1.96,0,1.96,174.74,0,1.96,0,0,0,0,0,10.8,0,0.98,0,0
 84-94,0,0,0,0,0,5.31,0,0,10.62,0,0,2.12,1.06,0,89.21,0,2.12,0,1.06,0,0,0,4.25,0,0,0,0
 96-106,0,0,0,0,3.28,3.28,4.37,1.09,4.37,0,0,3.28,0,1.09,76.5,1.09,0,0,0,0,1.09,0,6.56,1.09,0,1.09,0
108-118,0,0,1.53,0,0.77,0,0.77,0,5.36,0,0,2.3,0,2.3,78.13,0,1.53,0,0.77,0,0,0,4.6,0.77,0,0,0.77
120,0,0,0,0,0,3.92,0,0,3.92,0,1.96,0,0,0,129.35,0,0,0,0,0,0,0,3.92,1.96,0,0,0
