stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,pericytes,periderm,pronephros,somites,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
 24-34,0.82,0,0.82,0,0,0.82,0,22.16,0,0,4.1,0,4.1,9.03,0,0,0.82,0,0.82,2.46,0.82
 36-46,0,0,0.81,0,0.81,0,0,20.95,0.81,0,4.83,0.81,0.81,2.42,0,0,0,0,0,1.61,0
 48-58,0,0,2.3,0.57,0,0,0,19.51,0,0,0.57,1.15,0,5.74,0,1.72,0,0,0,1.72,0
 60-70,0,0,0,1.96,0,0,0,7.85,0,0,0.98,0,0.98,3.93,0,0,0,0.98,0,0,0
 72-82,0.98,0,1.96,0,0,0.98,0.98,2.94,0,0,0,0.98,0,3.93,0.98,0,0.98,0,0,0,0
 84-94,0,2.12,1.06,1.06,1.06,1.06,1.06,7.43,0,0,3.19,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,1.53,0.77,0.77,2.3,0.77,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0
120,0,0,3.92,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0,1.96,0,0,0
