stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,1317.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,502.63,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,7.89,0,0,10.51,10.51,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,15.73,0,0,15.73,3.15,6.29,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,2,39,4,2,0,2,7,0,6,0,42,105,33,0,0,0,0,0
 24-34,0,0,0.82,0,3.28,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,60.74,2.46,2.46,0,0,0.82,0,0,0.82,3.28,16.42,32.01,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,4.83,0,0,0.81,0.81,0,0,0,0,0,0,0,0.81,0,1.61,44.31,0,3.22,0,0,2.42,0.81,0,0,0,0,17.72,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,3.44,0.57,0,0.57,0.57,0,0,0,0.57,0.57,0,2.3,1.15,0,0.57,25.82,0,5.74,0,0,0.57,0,0,0,0.57,0,9.18,0,0,0,0,1.15
 60-70,0,0,0,0,0,0,0,16.69,0,0.98,0.98,3.93,0,0,0,0.98,0,0,0,0.98,0,0,26.5,0,0.98,0,0,0.98,0,0,0.98,1.96,0,4.91,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,12.76,0.98,0,2.94,5.89,0,0,0,0,0,0,0,0,0,0.98,26.5,0,1.96,0,0,2.94,0,0,1.96,0,0,5.89,0.98,0.98,0.98,0.98,0
 84-94,0,0,0,0,0,0,0,11.68,3.19,1.06,0,1.06,0,0,0,3.19,0,0,1.06,3.19,1.06,1.06,24.43,0,6.37,0,0,10.62,0,0,4.25,2.12,0,2.12,2.12,0,0,0,3.19
 96-106,0,0,0,0,0,1.09,0,16.39,5.46,2.19,0,5.46,0,0,0,0,0,5.46,1.09,5.46,0,0,32.79,0,9.84,1.09,0,13.11,0,0,3.28,1.09,0,1.09,1.09,0,0,0,0
108-118,0,0,0,0,3.83,0,1.53,16.09,8.43,3.06,0,3.83,0.77,0,1.53,9.96,0,5.36,2.3,1.53,0.77,1.53,39.06,0,5.36,0.77,0,1.53,0,0,2.3,1.53,0,3.06,1.53,0.77,0,0,1.53
120,0,0,1.96,0,1.96,0,0,7.84,9.8,0,0,3.92,0,0,0,1.96,0,1.96,0,0,0,1.96,35.28,0,0,0,0,5.88,0,0,3.92,0,0,1.96,1.96,1.96,0,0,0
