stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,heart,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,3.15,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,5,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,2.46,1.64,18.06,0.82,0,0.82,0,0,0,0,0,2.46,0
 36-46,0,0,0,4.83,0,0.81,0,0,0,0,0.81,0,12.09,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,4.59,0.57,0,0,0,0,0.57,1.15,0,17.21,0,0,0,0,0,0,0,0,2.3,0.57
 60-70,0,0,0,8.83,0,1.96,0,0,0.98,0,0.98,0,12.76,0,0.98,0.98,0,0,0,0,0,2.94,0.98
 72-82,0,0,0.98,3.93,0,0.98,0,0.98,0,0,0.98,0,11.78,0,0,0,0,0,0,0,0,2.94,0
 84-94,0,0,1.06,4.25,0,1.06,0,0,0,0,3.19,0,5.31,1.06,0,0,0,0,2.12,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,0,2.19,0,2.19,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0.77,0.77,0.77,1.53,0,0,0,1.53,1.53,0,3.83,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,1.96,0,0,0,3.92,0,15.68,0,0,0,0,0,0,0,0,0,0
