stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
 24-34,0.82,0.82,0,0,0.82,0,0,0,0,0,0,2.46,0,0.82,4.1,0.82,0,0,1.64,0.82,0,0,0
 36-46,0.81,0.81,0,0,0,0,0,0,0,0,0,1.61,0,2.42,8.86,0,0,0,0.81,1.61,0,1.61,0.81
 48-58,0.57,3.44,0,0,0,0.57,0,0,0,0.57,0,3.44,0,0,2.3,0,0,0,0,1.15,0,0,0
 60-70,0,5.89,0,0,0.98,0.98,0,0,0,0,0.98,1.96,0.98,0,10.8,0,0,0.98,0,0.98,1.96,0.98,0
 72-82,0,3.93,0,0.98,0.98,0.98,0,0,0,0,0,2.94,0,0,7.85,0,0,0,0,1.96,0,0.98,0
 84-94,1.06,6.37,0,1.06,0,0,0,0,0,0,0,2.12,0,1.06,3.19,0,0,0,2.12,0,0,0,0
 96-106,2.19,2.19,0,0,0,0,1.09,0,0,0,0,0,0,1.09,2.19,0,0,0,4.37,0,0,2.19,0
108-118,0,2.3,0.77,0,0,1.53,0.77,0,0.77,0,0,3.06,0,0,4.6,0,0.77,0,0,0.77,0,0,0
120,3.92,0,0,0,1.96,1.96,0,1.96,0,0,0,5.88,0,0,1.96,0,1.96,0,0,0,0,0,0
