stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,175,0,7,0,0,0,3,0,0,0,1,0,12,0,0,1,0,0,1,76,0,0,82,0,2,0,2,0,0,3,94,0,0,0,0,0
 24-34,0,0,0,0,29.55,0,3.28,0,0.82,0.82,0,0,0,0,0,0.82,74.7,1.64,0.82,4.93,0,0,2.46,237.23,0,0.82,59.1,0,1.64,0,0,0,0,0,129.7,0,0,0,0,0
 36-46,0,0,0,0,5.64,0,8.86,0,0,0,4.03,0,0,0,0,0,55.59,0,0,6.45,0,0,1.61,414.92,0,0.81,41.09,0,0,0,0,0,1.61,0.81,200.61,0,0,0,0,0.81
 48-58,0,0,0,0,9.18,0,66.56,0.57,0,0.57,16.07,0,0,0.57,0,0,40.17,0,1.15,8.61,0,0.57,3.44,517.57,0,0.57,52.22,0,1.15,0,0,0,0,0,255.34,0,0,0.57,0,0.57
 60-70,0,0,0,0,2.94,0,90.3,0,0,0,4.91,0.98,0.98,0,0,0,32.39,0.98,0,8.83,1.96,0,0,481.93,0,0,44.17,0,0.98,0,0,0,0,0,187.47,0,0.98,0.98,0,1.96
 72-82,0,0,0,0,14.72,1.96,64.79,0,0,0,9.82,1.96,0.98,0,0,0,44.17,0,0,19.63,0,0,0,372.05,0,0.98,65.77,0,2.94,0,0,0.98,0,0,62.83,0,0,0,0,0.98
 84-94,0,0,2.12,0,10.62,1.06,84.96,0,2.12,1.06,18.05,1.06,0,2.12,0,2.12,44.61,0,0,15.93,2.12,1.06,2.12,272.94,1.06,2.12,65.85,0,2.12,0,0,0,0,0,41.42,1.06,1.06,1.06,2.12,0
 96-106,0,0,0,0,39.34,2.19,65.57,0,4.37,0,12.02,4.37,0,0,1.09,0,57.92,1.09,0,14.21,2.19,0,0,207.64,1.09,1.09,89.61,0,4.37,1.09,0,0,0,0,10.93,0,0,0,2.19,0
108-118,0,0,0,0.77,16.85,1.53,46.72,0.77,2.3,0,7.66,0.77,0,0.77,3.83,0.77,41.36,0,0,10.72,1.53,0,1.53,230.55,0,1.53,70.47,0,0.77,0,0,0,0,0,22.98,0.77,0.77,0,0,0
120,0,0,0,0,25.48,1.96,54.87,0,3.92,0,11.76,5.88,0,0,0,0,21.56,0,0,11.76,0,0,0,239.09,1.96,0,48.99,0,3.92,0,0,0,0,0,5.88,0,0,0,0,0
