stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,18,6,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,138,0,1,0,0,0,0,6,2,69,0,0,0,0,0
 24-34,0,3.28,0,0.82,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,1.64,352.15,0.82,19.7,0,0,1.64,0,0,0.82,261.03,0,0,0.82,0,0
 36-46,0,0.81,0,1.61,0,0,36.26,0,0,0,0.81,0,0.81,0,0,0,0,0.81,0,3.22,0,0,0,507.57,0,17.72,0,0,0,0,0,0,334.35,0,0,0.81,0,1.61
 48-58,0,0,0,2.87,0,0,211.16,0,0,0.57,9.18,0,0,0.57,0,1.15,0,0,0,9.75,0,1.72,0.57,491.75,0,11.48,0,0,0.57,0,0.57,0,226.65,0,0,0.57,0,1.15
 60-70,0,1.96,0,9.82,0,0,955.02,0,0,0,11.78,0,0,0,0.98,0.98,0,0,0,8.83,0.98,3.93,0.98,698.84,0,18.65,0,0,0,0,0,0,232.62,0,0.98,1.96,0,0.98
 72-82,0,1.96,0,14.72,1.96,0,1313.46,0,1.96,4.91,44.17,2.94,1.96,0,0,1.96,0.98,1.96,0,22.58,0,1.96,0,630.23,0,14.72,0.98,0,0.98,0,0,0,99.15,1.96,0.98,1.96,2.94,0
 84-94,0,6.37,0,22.3,2.12,0,734.93,0,1.06,0,52.04,1.06,0,1.06,0,1.06,0,1.06,0,20.18,1.06,5.31,1.06,336.67,0,10.62,2.12,0,6.37,0,0,0,56.29,7.43,3.19,0,0,0
 96-106,0,2.19,0,15.3,1.09,0,679.75,0,2.19,0,44.81,2.19,2.19,1.09,0,1.09,1.09,4.37,0,13.11,0,2.19,3.28,319.11,1.09,21.86,2.19,0,5.46,1.09,0,0,21.86,22.95,0,1.09,2.19,1.09
108-118,0,0.77,0,6.89,0,0.77,452.68,0,0,0.77,27.57,0,0,1.53,1.53,1.53,0.77,1.53,0.77,7.66,0,1.53,1.53,273.45,1.53,16.85,0,0,3.83,1.53,0,0,10.72,17.62,0,0,3.06,0.77
120,0,0,0,11.76,1.96,0,390,1.96,0,1.96,58.79,0,0,0,0,1.96,0,0,0,7.84,0,0,1.96,360.6,0,9.8,1.96,0,0,0,0,0,23.52,11.76,0,0,0,0
