stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,12.59,3.15,0,0,6.29,0,0,0,31.47,0,0,3.15,0,0
 14-21,0,1,0,97,1,0,0,0,1,0,1,0,0,0,0,0,3,0,1,22,1,0,0,0,0,0,6,8,1,6,3,0,27
 24-34,0,0.82,0.82,27.09,2.46,0,0.82,1.64,0,0,2.46,0.82,0,0,0.82,0,9.03,0,6.57,41.86,2.46,0.82,0,0,0,0,0,0.82,0,0,6.57,0,77.98
 36-46,0,0.81,0,7.25,0.81,0,1.61,0.81,0,0,4.83,4.83,0,0,0,0,8.06,0,5.64,14.5,2.42,0,0,0,0,0,0,0,0,0,4.83,0,58.81
 48-58,0,0,0.57,8.61,5.74,0,1.15,2.3,0,0,10.33,2.3,0,0,0.57,0,5.74,0.57,2.3,14.35,3.44,0.57,0,0,0,0.57,0,0,0,0,2.3,0,51.64
 60-70,0,0,0,12.76,5.89,0,3.93,0,0,0,8.83,5.89,0.98,0.98,0,0,9.82,0,0.98,14.72,1.96,0,0,0,0.98,2.94,0,0,0,0,0.98,0.98,54.97
 72-82,0,0,0.98,36.32,9.82,0,3.93,2.94,0,0,14.72,3.93,0,0.98,0,0.98,7.85,1.96,3.93,14.72,0,0,0.98,0,0,0,0,0,0,0,0,3.93,85.4
 84-94,0,0,1.06,56.29,6.37,0,1.06,3.19,1.06,0,6.37,10.62,0,0,0,2.12,6.37,0,0,7.43,2.12,0,0,0,0,0,0,0,0,0,0,3.19,76.47
 96-106,0,0,2.19,34.97,3.28,1.09,0,4.37,1.09,0,9.84,13.11,0,0,0,0,12.02,0,0,10.93,2.19,0,1.09,0,0,3.28,0,1.09,0,0,0,3.28,91.8
108-118,0,0,0.77,29.87,4.6,0,0,0.77,0,0,3.06,6.13,0.77,0,0,0.77,9.96,0.77,3.06,6.13,0,0,0,0,0,0.77,0,0,0,0,0.77,6.89,57.45
120,0,0,0,27.44,1.96,0,0,11.76,0,1.96,7.84,3.92,0,0,0,0,15.68,0,0,9.8,3.92,0,0,0,0,1.96,0,0,0,0,0,0,27.44
