stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,3.15,0,0,0,0,3.15,0
 14-21,0,0,6,2,2,0,0,2,0,0,0,0,0,0,0,2,4,30,1,1,0,1,0,2,0,3,17,0
 24-34,0,0,0,0,3.28,0,0,0.82,0,0,0,0,0,0,0,3.28,0,26.27,0,1.64,0.82,0,0.82,0,0,0,7.39,0.82
 36-46,0,0,0,0,8.86,0,0,0.81,0,0,0.81,0,0,0.81,0,2.42,0.81,44.31,0,3.22,0,0,1.61,0,0,0,11.28,0
 48-58,0,0,0,0.57,10.33,0,0.57,1.15,0,0,0,0,0,0,0,2.3,1.15,28.69,0,0.57,0,0,0,0,0,0,6.89,0
 60-70,0,0,1.96,0.98,20.61,0,0,3.93,0,0,0,0,0,0,0,4.91,0,25.52,0.98,0,0,0,0,0,0,0,2.94,0
 72-82,0,0,0.98,1.96,14.72,0,0.98,3.93,0.98,0.98,0,0,0,0,0,6.87,1.96,22.58,0,0.98,0,0,0,0,0,0,2.94,0.98
 84-94,0,0,2.12,5.31,7.43,0,0,2.12,0,0,0,0,0,0,0,3.19,1.06,9.56,0,1.06,0,0,1.06,0,0,0,0,0
 96-106,0,0,2.19,7.65,4.37,1.09,1.09,1.09,1.09,0,0,0,0,0,0,4.37,0,10.93,0,4.37,0,0,0,0,0,0,0,0
108-118,0,0,1.53,6.89,6.13,0,0,0,0.77,0,0,0.77,0.77,1.53,0.77,4.6,0,15.32,0,1.53,0,0,0.77,0,0,0,1.53,0
120,0,0,1.96,1.96,0,1.96,0,0,0,0,0,1.96,0,0,0,1.96,0,9.8,1.96,1.96,0,0,0,0,1.96,0,0,0
