stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,3703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,202.28,2090.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,6.13,0,0,30.65,0,55.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,21.03,0,44.69,0,0,0,139.32,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,1135.6,23.66,0,0,381.16,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,34.62,0,0,0,88.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878,6.29,0,0,330.43,0,0,9.44,3.15,34.62,0,0,0,0,0,0,0,0
 14-21,0,0,0,18,103,46,0,175,1,0,23,12,1,0,0,3,0,0,0,0,89,0,0,63,1623,8,7,15,46,0,1,2,129,4,1,90,425,0,0,4,0,0
 24-34,0,0,1.64,4.93,49.25,3.28,0,321.78,0.82,1.64,22.16,2.46,0,2.46,0.82,4.1,2.46,1.64,1.64,0,170.74,1.64,1.64,50.89,1970.88,0.82,21.34,13.13,0,0,11.49,0.82,1.64,0.82,0,18.06,329.16,0,0,29.55,0,2.46
 36-46,0,0,0.81,0.81,18.53,0.81,0,548.66,0,0.81,37.87,3.22,0,0,2.42,1.61,0,1.61,1.61,0,121.66,0,3.22,29,1419.59,2.42,10.47,6.45,0,0,7.25,0.81,0,0,0.81,0.81,239.28,0,0,4.83,0,0
 48-58,0,0,0.57,0,20.08,0,0,476.83,2.3,4.02,51.64,0.57,0,0.57,1.15,1.15,0.57,2.3,0,0.57,98.12,0.57,4.59,18.36,887.1,0,5.16,1.72,0,1.15,8.03,0,0.57,1.15,0,0,133.12,0,0,11.48,0.57,0.57
 60-70,0,0,0,0,27.48,2.94,0,426.96,2.94,3.93,71.65,1.96,0,1.96,3.93,1.96,0.98,2.94,1.96,0,93.24,0,6.87,9.82,1084.58,0,5.89,3.93,0,0,15.7,0,0,1.96,0,0,96.19,0,1.96,8.83,0,0.98
 72-82,0,0,4.91,0,50.06,5.89,0.98,321,6.87,9.82,76.57,1.96,0,4.91,12.76,2.94,1.96,6.87,1.96,0,142.34,2.94,0.98,23.56,909.02,0,19.63,5.89,0,0,34.36,0,0,0,0,0,91.29,4.91,3.93,15.71,4.91,0.98
 84-94,0,0,3.19,0,117.89,7.43,1.06,229.4,13.81,3.19,73.28,7.43,0,6.37,32.92,6.37,1.06,11.68,1.06,0,112.58,0,4.25,25.49,558.63,0,8.5,15.93,0,3.19,113.64,0,0,0,0,0,59.47,10.62,2.12,16.99,2.12,1.06
 96-106,0,0,2.19,0,80.87,10.93,0,194.53,13.11,7.65,60.11,16.39,0,4.37,21.86,8.74,2.19,8.74,5.46,0,113.66,1.09,2.19,18.58,438.23,3.28,18.58,16.39,0,1.09,53.55,1.09,0,0,0,0,28.41,18.58,2.19,25.14,3.28,2.19
108-118,0,0,3.06,0,124.09,5.36,1.53,180.77,16.85,6.89,76.6,18.38,0,1.53,36.77,8.43,1.53,3.83,2.3,0,108,5.36,1.53,21.45,677.88,1.53,19.92,18.38,0,2.3,91.15,0.77,0,0,0,0,22.98,32.17,0,18.38,3.06,3.06
120,0,0,0,0,101.91,13.72,0,143.06,17.64,3.92,56.83,1.96,0,0,27.44,3.92,0,7.84,1.96,0,68.59,0,1.96,19.6,478.19,1.96,7.84,7.84,0,1.96,97.99,0,0,0,0,0,11.76,11.76,0,27.44,0,0
