stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.29,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,836,0,0,0,0,0,0,0,1,1,1,257,0,1,0,0
 24-34,0,0,0,0,1.64,0,14.78,0,0,0,36.94,0,0,0,1.64,0,0,0.82,0.82,7.39,0,2.46,2411.68,0,1.64,0,0,0,0.82,0.82,0,1.64,0.82,584.45,0,0,0,0.82
 36-46,0,0,0,0,0.81,0,18.53,0,0,0,82.18,0,0,0,0,0,0,0,0.81,2.42,0,3.22,3044.62,0,4.03,0.81,0,0,2.42,0,0,0.81,0,588.94,0,0,0,1.61
 48-58,0,0,0,0,4.02,0.57,62.54,1.15,0.57,1.15,184.19,0,0,0.57,0,0.57,0,0,2.3,13.77,0,2.87,2731.31,0,1.15,0,0,0,3.44,0,0.57,0.57,0,509.54,0,2.3,0,1.72
 60-70,0,0,0.98,0,0.98,0.98,38.28,0,0,0,177.66,0,0,0,0,0,0,0,0,10.8,1.96,0,2190.76,0,0,0.98,0,0.98,2.94,0,0,0,0,303.29,0.98,0,0,1.96
 72-82,0,0,0,0.98,11.78,4.91,121.73,0.98,0,2.94,249.34,0,0,0.98,0.98,0,0.98,1.96,1.96,20.61,1.96,0.98,1873.99,0,1.96,0.98,0,0,3.93,0,0.98,0,0,169.83,0,0.98,0.98,1.96
 84-94,0,0,1.06,0,10.62,0,89.21,0,0,1.06,133.82,2.12,0,1.06,0,1.06,0,0,0,20.18,2.12,0,775.29,0,3.19,1.06,0,0,3.19,0,0,0,0,88.15,1.06,1.06,0,0
 96-106,0,0,1.09,1.09,14.21,3.28,72.13,0,0,0,153,1.09,0,1.09,2.19,0,0,2.19,2.19,18.58,0,2.19,669.92,0,1.09,0,0,0,3.28,0,0,0,0,44.81,1.09,1.09,2.19,1.09
108-118,0,0,0.77,0,12.26,0.77,33.7,0.77,0,0.77,140.94,0.77,0,0,1.53,0,0.77,0,1.53,8.43,1.53,2.3,785.88,0,0.77,0,0,0,0,0,0,0,0,23.74,0,2.3,0,0
120,1.96,0,0,0,11.76,0,48.99,0,1.96,0,117.59,0,0,0,0,0,0,0,3.92,7.84,0,5.88,674.17,0,0,1.96,0,0,1.96,0,0,0,0,21.56,0,1.96,0,0
