stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,immune,iridophores,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0
 10-12,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,5,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,4.93,0.82,0,0,0.82,4.93
 36-46,0,0,0.81,0,0,0,0,0.81,6.45,0,0,0,0,0.81
 48-58,0,0,2.3,0.57,2.3,0,0,0.57,5.74,0,0.57,0,0,0.57
 60-70,0,0,1.96,0.98,1.96,0,0.98,0,4.91,0,0,0,0,0.98
 72-82,0,0,1.96,0,1.96,0,0,0,4.91,0,0,0,0,0
 84-94,0,0,3.19,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,1.09,0,0,0,0,0
108-118,0,1.53,0,0,1.53,0.77,0,0,1.53,0,0,0,0,0
