stage,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vasculature
 14-21,3,0,1,0,1,0,1,0,0,0,1,0,0,16,1,0,0,0,5,0
 24-34,3.28,0,22.16,0,0.82,0,0,0,0,0,6.57,0,0.82,123.95,0,0.82,0,0,21.34,0
 36-46,0.81,0,49.95,0,2.42,0,0,0,0,0,0.81,0,0.81,85.4,0,1.61,0,0,18.53,0
 48-58,0,0,60.25,0,2.87,0,0,0.57,0,0.57,5.16,1.72,1.15,35.58,0,0,0,0.57,5.74,1.15
 60-70,2.94,0,36.32,0,4.91,0,0,0,0,0,11.78,1.96,1.96,27.48,0,0,0.98,0,2.94,0
 72-82,0.98,0,10.8,0,2.94,0,0,0,0,0,5.89,0,0,18.65,0,0,0,0,0,0
 84-94,0,0,4.25,1.06,2.12,1.06,0,0,0,0,4.25,0,1.06,15.93,0,0,1.06,1.06,0,2.12
 96-106,1.09,0,4.37,0,0,0,0,0,0,0,1.09,0,1.09,5.46,0,0,0,0,0,0
108-118,0.77,0.77,3.06,0,0,0,0,0,0.77,0,0.77,0,0.77,6.89,0,0,0,0,0,0
120,0,0,15.68,0,7.84,0,0,0,0,0,0,0,0,15.68,0,0,0,0,0,0
