stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,5.26,0,0,55.2,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,3.15,0,0,50.35,0,0,0,28.32,0,0,0,0,0
 14-21,0,0,0,2,3,317,0,1,0,0,5,0,1,6,0,0,0,9,0,0,4,13,9,0,0,0,3,0,2,6,0,2,2,30,0
 24-34,0,0,1.64,4.1,0.82,96.86,0,1.64,0,0,0,0,1.64,36.94,0,0,0.82,2.46,0,0,3.28,16.42,21.34,0,0,0,4.1,0,0,0.82,0,0.82,4.1,70.59,0
 36-46,0,0,0,0.81,0,6.45,0,0,0,0,0,0,4.03,45.92,0,0,0,0,0.81,0,0,14.5,25.78,0,0,0,1.61,0,0,0.81,0,0,1.61,28.2,0
 48-58,0,0,0,0.57,0,6.31,0,0,0,0,0,0.57,2.87,43.04,0,0,0,0,0,0,0,4.02,10.33,0,0,0,0.57,0,0,0.57,0.57,0,1.15,16.64,0
 60-70,0,0,0,0,1.96,8.83,0,3.93,0,1.96,0.98,0.98,0.98,45.15,0.98,0,3.93,2.94,0,0,0,3.93,4.91,0,0,0,0.98,0,0,0,0,0,0.98,12.76,0
 72-82,0,0,0.98,0,2.94,21.6,0,0.98,0,0,3.93,0.98,0.98,97.18,0,0,2.94,7.85,0,0,0,7.85,0.98,0.98,0,0,0.98,0,0,1.96,0,0,0,20.61,0
 84-94,0,0,0,0,4.25,18.05,0,1.06,0,0,9.56,0,2.12,115.76,0,0,10.62,4.25,0,1.06,0,5.31,7.43,0,0,0,3.19,0,0,1.06,0,0,0,9.56,1.06
 96-106,0,0,0,2.19,16.39,29.51,0,3.28,1.09,2.19,13.11,0,1.09,168.3,0,0,13.11,5.46,0,1.09,0,10.93,1.09,0,2.19,0,4.37,1.09,0,1.09,0,0,1.09,18.58,0
108-118,0,0,0,0.77,11.49,18.38,0.77,0.77,0.77,0,11.49,0,0,109.53,0.77,0.77,13.79,3.06,0.77,0,0,3.06,2.3,0,0,0,0.77,0,0,0,0,0,0,16.09,0
120,0,0,0,0,13.72,23.52,0,0,0,0,1.96,0,0,117.59,0,0,9.8,0,0,0,0,5.88,5.88,0,1.96,0,0,0,0,0,0,0,0,15.68,0
