stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,361.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,105.15,7.89,0,28.92,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,0,0,18.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,8,1,3,0,0,0,0,1,0,0,0,0,0,1,0,2,30,2,0,0,1,0,6,0,6,13,0,0,2,0
 24-34,0,0,0,3.28,0,5.75,0.82,0,0.82,0,0.82,0,0,0,0,0,9.03,0,4.93,56.64,0.82,0.82,0,4.1,0,0,0.82,1.64,18.06,0,0,9.85,0
 36-46,0,0,0,1.61,0,11.28,0,0,0.81,0,0,0,0,0.81,0,0,14.5,0,8.06,32.23,0,0,0,3.22,0,0,1.61,0,8.86,0,0,3.22,0
 48-58,0,0,0,1.15,0,8.61,0,0.57,4.02,0,0,0,0,0,0,0,17.21,0,4.59,14.92,0,0.57,0,0.57,0,0,0,0,3.44,0,0,4.02,0.57
 60-70,0,0,0,0,0,9.82,0,0,3.93,0,0,0,0,0,0,0,20.61,0.98,3.93,15.7,0,0,0,0,0,0,0.98,0,0.98,0,0,3.93,0
 72-82,0,0,0,0.98,0,4.91,0,0.98,2.94,0.98,0,0,0,0,0,0,14.72,2.94,0,11.78,0,0,0,1.96,0,0,0.98,0,0.98,0,0.98,5.89,0
 84-94,0,0,0,3.19,0,3.19,0,0,2.12,1.06,0,0,0,0,1.06,0,7.43,0,2.12,5.31,0,0,0,2.12,0,0,4.25,0,1.06,2.12,1.06,2.12,0
 96-106,0,0,0,0,1.09,3.28,0,0,4.37,0,0,1.09,0,0,0,1.09,3.28,2.19,0,7.65,0,0,0,0,0,0,3.28,0,0,0,0,6.56,0
108-118,0,0,0,0.77,0,2.3,0,0,3.83,1.53,0,0,0.77,0.77,1.53,0,6.89,0,0,6.89,0,0.77,0,1.53,0,0,3.06,0,0,0,0,3.06,0
120,0,0,0,1.96,1.96,7.84,0,0,1.96,5.88,0,0,3.92,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,7.84,0,0,0,0,1.96,0
