stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,250.38,4889.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,0,0,0,0,0,0,0
  5-6,392.3,4505.28,6.13,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,85.81,18.39,0,0,30.65,0,85.81,0,0,0,0,0,0,0,0,0,0
  7-9,65.72,52.57,120.92,0,0,0,139.32,0,0,0,0,126.18,0,0,0,0,0,0,0,0,0,0,0,1474.71,44.69,0,0,709.75,0,18.4,42.06,0,0,0,0,0,0,0,0,0
 10-12,0,50.35,66.09,0,15.73,0,122.73,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,1038.5,28.32,0,0,443.72,0,9.44,15.73,6.29,50.35,3.15,0,0,0,0,0,0
 14-21,0,0,9,219,41,0,47,0,0,10,8,1,1,0,9,0,0,0,0,66,0,0,60,544,89,1,5,28,0,51,0,71,8,81,198,0,0,5,0,0
 24-34,0,0,2.46,130.52,21.34,0,178.95,0,0.82,23.8,0.82,0,4.93,0.82,6.57,1.64,2.46,0,0,165.81,2.46,3.28,86.19,1180.39,57.46,11.49,10.67,0,0,132.98,0,0,2.46,9.03,293.05,0,0,49.25,0,3.28
 36-46,0,0,0.81,71.7,8.06,0,381.08,0.81,0,22.56,0,0,3.22,5.64,0.81,4.03,3.22,0,0,152.27,2.42,8.06,62.84,802.45,16.11,3.22,3.22,0,0,47.53,0,0,2.42,0,232.03,0,0,21.75,0,4.03
 48-58,0,0,0,92.96,8.61,0,414.29,8.03,0.57,22.95,1.15,0,6.89,8.61,1.15,1.15,0.57,2.87,0.57,158.94,4.02,13.2,33.85,422.89,12.05,2.3,4.59,0,0.57,20.66,0,0,1.72,0,82.05,0,0,18.94,0,2.87
 60-70,0,0,0,95.21,1.96,0,316.05,3.93,0.98,33.37,7.85,0,2.94,5.89,0,0,0.98,0,0,112.88,2.94,15.7,19.63,225.75,13.74,1.96,1.96,0,0,16.69,0,0,0,0,10.8,0.98,0,13.74,0,0.98
 72-82,0,0,0,66.75,2.94,0,101.11,3.93,0,36.32,7.85,0,1.96,5.89,5.89,0.98,0,0,0,144.3,3.93,14.72,20.61,158.05,5.89,2.94,1.96,0,0.98,8.83,0,0,1.96,0,6.87,0,0.98,27.49,0.98,1.96
 84-94,0,0,1.06,64.78,3.19,0,126.38,1.06,0,20.18,12.74,0,1.06,15.93,1.06,2.12,0,3.19,0,94.52,0,14.87,18.05,121.07,12.74,3.19,6.37,0,1.06,14.87,0,0,5.31,0,5.31,4.25,3.19,28.68,0,0
 96-106,0,0,0,49.18,8.74,0,73.22,2.19,0,33.88,15.3,0,5.46,18.58,3.28,1.09,2.19,3.28,0,68.85,0,5.46,12.02,95.08,9.84,6.56,6.56,0,1.09,24.04,0,0,5.46,0,2.19,0,0,22.95,2.19,0
108-118,0,0,0,36.77,13.02,0.77,68.94,0.77,0,35.23,13.79,0,2.3,13.79,3.06,5.36,0,1.53,0.77,50.55,0,5.36,11.49,119.49,9.19,2.3,2.3,0,0,9.96,0,0,4.6,0,2.3,5.36,0,13.02,3.06,0
120,0,0,0,11.76,19.6,0,82.31,1.96,0,27.44,1.96,0,3.92,15.68,1.96,3.92,1.96,1.96,0,45.08,0,1.96,7.84,125.43,5.88,0,5.88,0,0,9.8,0,0,0,0,5.88,1.96,0,17.64,3.92,0
